""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_4137"	29002.4049465404	12055.8159837024	43118.6759129415	24774.5874597769	1.83874542695998	0.240978168994902	7.63034026953241	2.34134897892343e-14	2.48963367269354e-12	41808	46691	53001	9382	12125	29946	19291	" 11465.85"	"  7182.43"	"  9711.48"	"  3091.06"	"  2202.24"	"  5364.55"	"  5437.86"	"13.49"	"12.81"	"13.25"	"11.59"	"11.11"	"12.39"	"12.41"	"Tery_4137"	"gene4177"	"CDS"	6381887	6383344	"+"	"CP000393.1"	"nitrogenase molybdenum-iron protein alpha chain"	"KEGG: cyb:CYB_0422 nitrogenase molybdenum-iron protein alpha chain~TIGRFAM: nitrogenase molybdenum-iron protein alpha chain  nitrogenase component I%2C alpha chain~PFAM: oxidoreductase/nitrogenase%2C component 1"	"InterPro:IPR000318,InterPro:IPR000510,InterPro:IPR005972,InterPro:IPR010143,NCBI_GP:ABG53145.1"
"Tery_0277"	1173.3983128901	508.562923917884	1749.00334588528	974.826152369559	1.77956832429459	0.23765150890186	7.4881423329379	6.98552503033052e-14	6.57714049009582e-12	1670	1942	2148	321	647	1033	851	"   458.00"	"   298.74"	"   393.58"	"   105.76"	"   117.51"	"   185.05"	"   239.88"	" 8.84"	" 8.23"	" 8.62"	" 6.74"	" 6.89"	" 7.54"	" 7.91"	"Tery_0277"	"gene280"	"CDS"	428293	429981	"-"	"CP000393.1"	"Cytochrome-c oxidase"	"PFAM: cytochrome c oxidase%2C subunit I~KEGG: ana:alr2732 cytochrome c oxidase subunit I"	"InterPro:IPR000883,NCBI_GP:ABG49759.1"
"Tery_3368"	316.463735557938	99.0948107157251	499.184574653561	259.751401756715	2.33004721205853	0.311055159024248	7.49078465493927	6.84630685084259e-14	6.57714049009582e-12	555	509	534	67	118	248	244	"   152.21"	"    78.30"	"    97.85"	"    22.07"	"    21.43"	"    44.43"	"    68.78"	" 7.26"	" 6.31"	" 6.63"	" 4.53"	" 4.49"	" 5.51"	" 6.12"	"Tery_3368"	"gene3397"	"CDS"	5163224	5164828	"-"	"CP000393.1"	"Hydrogen:quinone oxidoreductase"	"PFAM: nickel-dependent hydrogenase%2C large subunit~KEGG: ava:Ava_4595 nickel-dependent hydrogenase%2C large subunit"	"InterPro:IPR001501,NCBI_GP:ABG52470.1"
"Tery_3063"	57.8315052857663	6.72531621418562	111.398318136189	28.587475081713	4.01559485164643	0.542206893898032	7.4060195413185	1.30146664488108e-13	1.16560622439105e-11	96	130	147	4	9	16	34	"    26.33"	"    20.00"	"    26.94"	"     1.32"	"     1.63"	"     2.87"	"     9.58"	" 4.77"	" 4.39"	" 4.80"	" 1.21"	" 1.40"	" 1.95"	" 3.40"	"Tery_3063"	"gene3089"	"CDS"	4722059	4722535	"+"	"CP000393.1"	"heat shock protein Hsp20"	"PFAM: heat shock protein Hsp20~KEGG: ava:Ava_C0143 heat shock protein HSP20"	"InterPro:IPR002068,NCBI_GP:ABG52207.1"
"Tery_3061"	64.4459432896028	2.74185341067064	124.392449391065	36.2302740163422	5.53097519571705	0.747798152081752	7.39634777154729	1.39981108411592e-13	1.22383483354135e-11	124	125	156	2	3	22	42	"    34.01"	"    19.23"	"    28.58"	"     0.66"	"     0.54"	"     3.94"	"    11.84"	" 5.13"	" 4.34"	" 4.89"	" 0.73"	" 0.63"	" 2.30"	" 3.68"	"Tery_3061"	"gene3087"	"CDS"	4720723	4721199	"+"	"CP000393.1"	"heat shock protein Hsp20"	"PFAM: heat shock protein Hsp20~KEGG: ava:Ava_C0143 heat shock protein HSP20"	"InterPro:IPR002068,NCBI_GP:ABG52205.1"
"Tery_3062"	56.8826632376994	9.38955203853985	107.813437371198	27.9796132366111	3.54464467805676	0.480911730326415	7.37067626870083	1.69764635854026e-13	1.44971102989764e-11	114	116	119	7	10	24	28	"    31.26"	"    17.84"	"    21.80"	"     2.31"	"     1.82"	"     4.30"	"     7.89"	" 5.01"	" 4.24"	" 4.51"	" 1.73"	" 1.49"	" 2.41"	" 3.15"	"Tery_3062"	"gene3088"	"CDS"	4721367	4721714	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: syf:Synpcc7942_2401 molecular chaperon"	"NCBI_GP:ABG52206.1"
"Tery_2334"	555.43083886788	255.25127380557	754.843459280242	556.491473311649	1.56549841216782	0.215727959518064	7.25681740867128	3.96304091394039e-13	3.23384138577536e-11	561	996	1033	172	305	621	466	"   153.85"	"   153.21"	"   189.28"	"    56.67"	"    55.40"	"   111.25"	"   131.36"	" 7.27"	" 7.27"	" 7.57"	" 5.85"	" 5.82"	" 6.81"	" 7.05"	"Tery_2334"	"gene2354"	"CDS"	3608132	3609067	"+"	"CP000393.1"	"gas vesicle protein GvpN"	"KEGG: ana:all2251 gas vesicle protein~TIGRFAM: gas vesicle protein GvpN~PFAM: ATPase associated with various cellular activities%2C AAA_5~SMART: ATPase"	"InterPro:IPR003593,InterPro:IPR011704,InterPro:IPR013462,NCBI_GP:ABG51555.1"
"Tery_4134"	4244.03458363833	1715.57548735499	6197.2203297811	3842.71506070751	1.85223381421154	0.255855171472921	7.23938392000638	4.5072746147825e-13	3.59798095336551e-11	6128	7090	7120	1076	2195	3602	3652	"  1680.60"	"  1090.65"	"  1304.61"	"   354.51"	"   398.67"	"   645.27"	"  1029.45"	"10.72"	"10.09"	"10.35"	" 8.47"	" 8.64"	" 9.34"	"10.01"	"Tery_4134"	"gene4174"	"CDS"	6377943	6379145	"+"	"CP000393.1"	"aminotransferase%2C class V"	"PFAM: aminotransferase%2C class V  aromatic amino acid beta-eliminating lyase/threonine aldolase~KEGG: ava:Ava_4245 aromatic amino acid beta-eliminating lyase/threonine aldolase"	"InterPro:IPR000192,InterPro:IPR001597,NCBI_GP:ABG53142.1"
"Tery_0278"	455.909574723849	154.553091607887	712.780485050053	371.959692350506	2.19390682220744	0.307199942818608	7.14162509952965	9.223387733459e-13	7.05589161609614e-11	611	748	1016	83	223	321	371	"   167.57"	"   115.06"	"   186.16"	"    27.35"	"    40.50"	"    57.50"	"   104.58"	" 7.40"	" 6.86"	" 7.55"	" 4.83"	" 5.38"	" 5.87"	" 6.72"	"Tery_0278"	"gene281"	"CDS"	430086	430994	"-"	"CP000393.1"	"cytochrome c oxidase%2C subunit II"	"PFAM: cytochrome c oxidase%2C subunit II  cytochrome C oxidase subunit II%2C transmembrane region~KEGG: ana:alr2731 cytochrome c oxidase subunit II"	"InterPro:IPR001505,InterPro:IPR002429,InterPro:IPR011759,NCBI_GP:ABG49760.1"
"Tery_4140"	2174.8591242742	964.072080190105	3199.95936799582	1847.99580277586	1.73130425510889	0.243283333973538	7.11641125115952	1.10773447077614e-12	8.13520195337997e-11	3219	3310	3890	691	1077	2289	1404	"   882.81"	"   509.17"	"   712.77"	"   227.66"	"   195.61"	"   410.05"	"   395.77"	" 9.79"	" 8.99"	" 9.48"	" 7.84"	" 7.62"	" 8.68"	" 8.63"	"Tery_4140"	"gene4180"	"CDS"	6388520	6388939	"+"	"CP000393.1"	"nitrogen fixation protein NifX"	"TIGRFAM: nitrogen fixation protein NifX~PFAM: Dinitrogenase iron-molybdenum cofactor biosynthesis~KEGG: ana:all1436 nitrogen fixation protein"	"InterPro:IPR003731,InterPro:IPR013480,NCBI_GP:ABG53148.1"
"Tery_0276"	379.32981914455	173.176960512334	579.830444630266	284.731739548192	1.7311172120761	0.257255417706308	6.72917689163073	1.70625524019937e-11	1.18214514000228e-09	546	629	736	99	239	320	237	"   149.74"	"    96.76"	"   134.86"	"    32.62"	"    43.41"	"    57.33"	"    66.81"	" 7.24"	" 6.61"	" 7.09"	" 5.07"	" 5.47"	" 5.87"	" 6.08"	"Tery_0276"	"gene279"	"CDS"	427229	427843	"-"	"CP000393.1"	"cytochrome c oxidase%2C subunit III"	"PFAM: cytochrome c oxidase%2C subunit III~KEGG: ava:Ava_4300 cytochrome c oxidase subunit III"	"InterPro:IPR000298,NCBI_GP:ABG49758.1"
"Tery_0279"	309.662436917325	114.097522882206	457.675608988983	283.207592844956	1.99799851011708	0.304461309582344	6.56240529497135	5.29466682079058e-11	3.47178867248982e-09	382	486	663	71	147	242	284	"   104.76"	"    74.76"	"   121.48"	"    23.39"	"    26.70"	"    43.35"	"    80.06"	" 6.72"	" 6.24"	" 6.94"	" 4.61"	" 4.79"	" 5.47"	" 6.34"	"Tery_0279"	"gene282"	"CDS"	431013	431618	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_B0180 hypothetical protein"	"NCBI_GP:ABG49761.1"
"Tery_4144"	813.159979366731	323.410609093627	1245.29590232885	654.705465196653	1.93746329912174	0.298425435016826	6.49228608483892	8.45435163681131e-11	5.35247917420192e-09	1125	1333	1667	163	486	584	641	"   308.53"	"   205.05"	"   305.45"	"    53.70"	"    88.27"	"   104.62"	"   180.69"	" 8.27"	" 7.69"	" 8.26"	" 5.77"	" 6.48"	" 6.72"	" 7.51"	"Tery_4144"	"gene4184"	"CDS"	6391312	6391662	"+"	"CP000393.1"	"iron-sulfur cluster assembly accessory protein"	"TIGRFAM: iron-sulfur cluster assembly accessory protein~PFAM: HesB/YadR/YfhF~KEGG: ava:Ava_4257 HesB/YadR/YfhF"	"InterPro:IPR000361,NCBI_GP:ABG53152.1"
"Tery_4282"	5187.10469189675	2496.83868264764	8338.54528602942	3150.20980994685	1.74118537196089	0.27096422432773	6.42588657702256	1.31103133437344e-10	7.89197878658895e-09	7047	10717	10381	2224	2002	4236	2182	"  1932.64"	"  1648.59"	"  1902.13"	"   732.74"	"   363.62"	"   758.84"	"   615.07"	"10.92"	"10.69"	"10.89"	" 9.52"	" 8.51"	" 9.57"	" 9.27"	"Tery_4282"	"gene4324"	"CDS"	6602856	6603398	"+"	"CP000393.1"	"Ferritin and Dps"	"PFAM: Ferritin and Dps~KEGG: ava:Ava_1894 ferritin and Dps"	"InterPro:IPR002024,InterPro:IPR002177,InterPro:IPR008331,InterPro:IPR009040,NCBI_GP:ABG53279.1"
"Tery_1532"	3086.93723398466	1734.79179520176	3890.77234537153	3233.33000568727	1.1664742840404	0.188245803475333	6.19654867468669	5.77146870933111e-10	3.31138017197872e-08	2873	5620	4943	1239	1946	3756	2614	"   787.92"	"   864.52"	"   905.72"	"   408.21"	"   353.45"	"   672.85"	"   736.85"	" 9.62"	" 9.76"	" 9.82"	" 8.68"	" 8.47"	" 9.40"	" 9.53"	"Tery_1532"	"gene1540"	"CDS"	2322739	2323605	"-"	"CP000393.1"	"light-independent protochlorophyllide reductase%2C iron-sulfur ATP-binding protein"	"KEGG: ava:Ava_2332 light-independent protochlorophyllide reductase%2C iron-sulfur ATP-binding protein~TIGRFAM: light-independent protochlorophyllide reductase%2C iron-sulfur ATP-binding protein~PFAM: NifH/frxC"	"InterPro:IPR000392,InterPro:IPR005971,NCBI_GP:ABG50813.1"
"Tery_1530"	3310.4096632854	1644.62083100667	4165.10836253586	3694.15044668844	1.34153661719297	0.216793847335568	6.18807513995752	6.09032983485839e-10	3.44056786978461e-08	3365	6731	4257	1185	1826	5084	2485	"   922.85"	"  1035.42"	"   780.02"	"   390.42"	"   331.65"	"   910.75"	"   700.49"	" 9.85"	"10.02"	" 9.61"	" 8.61"	" 8.38"	" 9.83"	" 9.45"	"Tery_1530"	"gene1538"	"CDS"	2319290	2320687	"-"	"CP000393.1"	"light-independent protochlorophyllide reductase%2C N subunit"	"TIGRFAM: light-independent protochlorophyllide reductase%2C N subunit~KEGG: ava:Ava_2330 light-independent protochlorophyllide reductase subunit N"	"InterPro:IPR005970,NCBI_GP:ABG50811.1"
"Tery_0107"	3144.86268305658	1673.02424379877	3826.0535786774	3594.91477888315	1.19281826358066	0.194986063346628	6.11745395085073	9.50822236955042e-10	5.21107351358047e-08	3329	4818	4704	1091	2065	4755	2540	"   912.98"	"   741.15"	"   861.92"	"   359.45"	"   375.06"	"   851.82"	"   715.99"	" 9.84"	" 9.54"	" 9.75"	" 8.49"	" 8.55"	" 9.74"	" 9.49"	"Tery_0107"	"gene106"	"CDS"	146668	146931	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG49606.1"
"Tery_4145"	6863.27774145899	2632.65177946717	10917.816110819	5012.09614941082	2.05150461810658	0.33560473845561	6.11285951309037	9.78615174851465e-10	5.28452194419791e-08	13788	8536	11399	1514	3617	6679	3510	"  3781.36"	"  1313.08"	"  2088.66"	"   498.81"	"   656.95"	"  1196.48"	"   989.42"	"11.89"	"10.36"	"11.03"	" 8.97"	" 9.36"	"10.23"	" 9.95"	"Tery_4145"	"gene4185"	"CDS"	6391780	6392094	"+"	"CP000393.1"	"ferredoxin (2Fe-2S)"	"TIGRFAM: ferredoxin [2Fe-2S]~PFAM: ferredoxin~KEGG: ana:all1430 heterocyst ferredoxin"	"InterPro:IPR001041,InterPro:IPR006058,InterPro:IPR010241,NCBI_GP:ABG53153.1"
"Tery_0275"	338.468166154858	148.060084176215	480.691736961382	315.540891923715	1.70258170052401	0.279140935950194	6.09936229786015	1.06492453725972e-09	5.66725058089518e-08	458	467	648	108	162	343	270	"   125.61"	"    71.84"	"   118.73"	"    35.58"	"    29.42"	"    61.45"	"    76.11"	" 6.98"	" 6.19"	" 6.90"	" 5.19"	" 4.93"	" 5.96"	" 6.27"	"Tery_0275"	"gene278"	"CDS"	425178	426698	"-"	"CP000393.1"	"glucose-methanol-choline oxidoreductase"	"PFAM: glucose-methanol-choline oxidoreductase  GMC oxidoreductase~KEGG: ava:Ava_B0176 glucose-methanol-choline oxidoreductase"	"InterPro:IPR000172,InterPro:IPR007867,InterPro:IPR013027,NCBI_GP:ABG49757.1"
"Tery_0846"	87.955092234098	38.4635653357054	135.606341957122	65.9697445479554	1.83368971534861	0.305358076656458	6.00504737070241	1.91276050707419e-09	9.8924740591217e-08	93	197	182	27	44	74	55	"    25.51"	"    30.30"	"    33.35"	"     8.90"	"     7.99"	"    13.26"	"    15.50"	" 4.73"	" 4.97"	" 5.10"	" 3.31"	" 3.17"	" 3.83"	" 4.04"	"Tery_0846"	"gene852"	"CDS"	1340262	1340720	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: tel:tlr1091 unknown protein"	"NCBI_GP:ABG50256.1"
"Tery_1204"	4526.84808678806	2202.64432360403	6066.33737804497	4541.81791308672	1.4612595752526	0.24901984172163	5.86804475157482	4.4096424729626e-09	2.18813610279982e-07	3561	9637	8344	1322	2926	4691	4042	"   976.60"	"  1482.45"	"  1528.89"	"   435.56"	"   531.44"	"   840.35"	"  1139.38"	" 9.93"	"10.53"	"10.58"	" 8.77"	" 9.06"	" 9.72"	"10.16"	"Tery_1204"	"gene1210"	"CDS"	1878803	1879288	"+"	"CP000393.1"	"photosystem I reaction centre%2C subunit XI PsaL"	"PFAM: photosystem I reaction centre%2C subunit XI PsaL~KEGG: tel:tlr2404 photosystem I subunit XI"	"InterPro:IPR003757,NCBI_GP:ABG50560.1"
"Tery_1887"	580.984152902542	298.785220141438	853.236106173973	454.805155756499	1.50601955639473	0.256925567416211	5.86169594384908	4.58163405091896e-09	2.24316803132992e-07	850	957	987	171	412	482	397	"   233.11"	"   147.21"	"   180.85"	"    56.34"	"    74.83"	"    86.35"	"   111.91"	" 7.87"	" 7.21"	" 7.51"	" 5.84"	" 6.24"	" 6.45"	" 6.82"	"Tery_1887"	"gene1898"	"CDS"	2884846	2886438	"+"	"CP000393.1"	"transcriptional regulator"	"KEGG: ana:all2512 transcriptional regulator"	"NCBI_GP:ABG51143.1"
"Tery_0848"	62.7341094388287	22.1676800443144	105.1199339571	39.7218020559363	2.23036698818572	0.39145180966638	5.69767959454978	1.2144901882817e-08	5.79169866411739e-07	69	207	100	13	30	40	36	"    18.92"	"    31.84"	"    18.32"	"     4.28"	"     5.45"	"     7.17"	"    10.15"	" 4.32"	" 5.04"	" 4.27"	" 2.40"	" 2.69"	" 3.03"	" 3.48"	"Tery_0848"	"gene854"	"CDS"	1343707	1343889	"-"	"CP000393.1"	"cell surface protein"	"KEGG: mba:Mbar_A1995 cell surface protein"	"NCBI_GP:ABG50258.1"
"Tery_1567"	955.810436489795	586.162559011892	1243.60049586862	893.773224899459	1.08433658860848	0.193635869689971	5.59987460145994	2.14506917938891e-08	9.60572442282448e-07	960	1930	1405	377	733	1036	724	"   263.28"	"   296.89"	"   257.44"	"   124.21"	"   133.13"	"   185.59"	"   204.09"	" 8.05"	" 8.22"	" 8.01"	" 6.97"	" 7.07"	" 7.54"	" 7.68"	"Tery_1567"	"gene1575"	"CDS"	2392917	2393282	"-"	"CP000393.1"	"ferredoxin thioredoxin reductase%2C beta chain"	"PFAM: ferredoxin thioredoxin reductase%2C beta chain~KEGG: ana:alr4065 ferredoxin--thioredoxin reductase catalytic chain"	"InterPro:IPR004209,NCBI_GP:ABG50847.1"
"Tery_1823"	5786.24934266481	3432.72883631413	7181.82609341089	6046.40472289637	1.06475274020473	0.192833160599426	5.52162676219653	3.3587536662657e-08	1.46825517411043e-06	5084	10092	9689	2153	4392	7315	4704	"  1394.29"	"  1552.44"	"  1775.34"	"   709.34"	"   797.71"	"  1310.42"	"  1325.99"	"10.45"	"10.60"	"10.79"	" 9.47"	" 9.64"	"10.36"	"10.37"	"Tery_1823"	"gene1834"	"CDS"	2783783	2785003	"-"	"CP000393.1"	"geranylgeranyl reductase"	"TIGRFAM: geranylgeranyl reductase~PFAM: monooxygenase%2C FAD-binding~KEGG: ava:Ava_1497 geranylgeranyl reductase"	"InterPro:IPR000103,InterPro:IPR000205,InterPro:IPR002938,InterPro:IPR003042,InterPro:IPR010253,InterPro:IPR011774,InterPro:IPR011777,InterPro:IPR013027,NCBI_GP:ABG51080.1"
"Tery_0041"	237.099269944091	132.410921441388	353.29223355739	167.498173026848	1.41411361552147	0.256478267548985	5.51358065942717	3.51605783412361e-08	1.5189369843414e-06	349	432	383	91	155	230	113	"    95.71"	"    66.45"	"    70.18"	"    29.98"	"    28.15"	"    41.20"	"    31.85"	" 6.60"	" 6.08"	" 6.15"	" 4.95"	" 4.87"	" 5.40"	" 5.04"	"Tery_0041"	"gene40"	"CDS"	64428	64763	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr3811 hypothetical protein"	"NCBI_GP:ABG49559.1"
