""	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_0018"	1126	1890	1749	1185	1894	2020	1329	"   308.81"	"   290.74"	"   320.47"	"   390.42"	"   344.00"	"   361.86"	"   374.63"	" 8.28"	" 8.19"	" 8.33"	" 8.61"	" 8.43"	" 8.50"	" 8.55"	"Tery_0018"	"gene17"	"CDS"	25441	27636	"-"	"CP000393.1"	"Rho termination factor-like"	"PFAM: Rho termination factor-like~KEGG: ava:Ava_4273 Rho termination factor-like"	"InterPro:IPR011112,NCBI_GP:ABG49542.1"
"Tery_0019"	1190	2062	1834	683	1081	1366	1056	"   326.36"	"   317.20"	"   336.05"	"   225.03"	"   196.34"	"   244.71"	"   297.67"	" 8.35"	" 8.31"	" 8.40"	" 7.82"	" 7.62"	" 7.94"	" 8.22"	"Tery_0019"	"gene18"	"CDS"	28954	30639	"+"	"CP000393.1"	"dihydroxyacid dehydratase"	"KEGG: ava:Ava_0023 dihydroxy-acid dehydratase~TIGRFAM: dihydroxy-acid dehydratase~PFAM: dihydroxy-acid and 6-phosphogluconate dehydratase"	"InterPro:IPR000581,InterPro:IPR004404,NCBI_GP:ABG49543.1"
"Tery_0020"	26	58	52	25	43	40	28	"     7.13"	"     8.92"	"     9.53"	"     8.24"	"     7.81"	"     7.17"	"     7.89"	" 3.02"	" 3.31"	" 3.40"	" 3.21"	" 3.14"	" 3.03"	" 3.15"	"Tery_0020"	"gene19"	"CDS"	31434	32471	"-"	"CP000393.1"	"transposase"	"KEGG: ana:alr4628 transposase"	"NCBI_GP:ABG49544.1"
"Tery_0021"	2003	3523	2675	1788	3357	2137	1859	"   549.32"	"   541.94"	"   490.15"	"   589.09"	"   609.73"	"   382.82"	"   524.03"	" 9.10"	" 9.08"	" 8.94"	" 9.20"	" 9.25"	" 8.58"	" 9.04"	"Tery_0021"	"gene20"	"CDS"	33065	35353	"+"	"CP000393.1"	"FHA modulated glycosyl transferase/transpeptidase"	"TIGRFAM: penicillin-binding protein%2C 1A family~PFAM: Forkhead-associated  glycosyl transferase%2C family 51  penicillin-binding protein%2C transpeptidase~KEGG: ana:alr4579 penicillin-binding protein"	"InterPro:IPR000152,InterPro:IPR000253,InterPro:IPR001264,InterPro:IPR001460,InterPro:IPR005479,InterPro:IPR011816,NCBI_GP:ABG49545.1"
"Tery_0022"	91	130	128	41	83	74	56	"    24.96"	"    20.00"	"    23.45"	"    13.51"	"    15.08"	"    13.26"	"    15.79"	" 4.70"	" 4.39"	" 4.61"	" 3.86"	" 4.01"	" 3.83"	" 4.07"	"Tery_0022"	"gene21"	"CDS"	36830	38158	"+"	"CP000393.1"	"Tetratricopeptide TPR_2"	"PFAM: TPR repeat Tetratricopeptide TPR_2~SMART: Tetratricopeptide region~KEGG: lpp:lpp2549 hypothetical protein"	"InterPro:IPR001440,InterPro:IPR013026,InterPro:IPR013105,NCBI_GP:ABG49546.1"
"Tery_0023"	29	46	36	23	44	53	22	"     7.95"	"     7.08"	"     6.60"	"     7.58"	"     7.99"	"     9.49"	"     6.20"	" 3.16"	" 3.01"	" 2.93"	" 3.10"	" 3.17"	" 3.39"	" 2.85"	"Tery_0023"	"gene22"	"CDS"	39907	40488	"+"	"CP000393.1"	"Tetratricopeptide TPR_2"	"PFAM: TPR repeat Tetratricopeptide TPR_2~SMART: Tetratricopeptide region~KEGG: pmt:PMT1811 TPR repeat:HAT (Half-A-TPR) repeat"	"InterPro:IPR001440,InterPro:IPR013026,InterPro:IPR013105,NCBI_GP:ABG49547.1"
"Tery_0024"	14	45	27	13	52	38	13	"     3.84"	"     6.92"	"     4.95"	"     4.28"	"     9.44"	"     6.81"	"     3.66"	" 2.27"	" 2.99"	" 2.57"	" 2.40"	" 3.38"	" 2.96"	" 2.22"	"Tery_0024"	"gene23"	"CDS"	40836	41411	"+"	"CP000393.1"	"hypothetical protein"	NA	"InterPro:IPR000051,NCBI_GP:ABG49548.1"
"Tery_0025"	10	32	19	5	23	19	12	"     2.74"	"     4.92"	"     3.48"	"     1.65"	"     4.18"	"     3.40"	"     3.38"	" 1.90"	" 2.57"	" 2.16"	" 1.40"	" 2.37"	" 2.14"	" 2.13"	"Tery_0025"	"gene24"	"CDS"	41475	41900	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG49549.1"
"Tery_0027"	1243	2287	1873	1164	2115	2355	1268	"   340.89"	"   351.81"	"   343.19"	"   383.50"	"   384.14"	"   421.88"	"   357.43"	" 8.42"	" 8.46"	" 8.43"	" 8.59"	" 8.59"	" 8.72"	" 8.49"	"Tery_0027"	"gene26"	"CDS"	45501	48125	"-"	"CP000393.1"	"DNA topoisomerase I"	"KEGG: ava:Ava_0030 DNA topoisomerase I~TIGRFAM: DNA topoisomerase I~PFAM: TOPRIM domain containing protein DNA topoisomerase%2C type IA%2C central~SMART: DNA topoisomerase%2C type IA%2C domain 2  DNA topoisomerase%2C type IA%2C DNA-binding  Toprim subdomain"	"InterPro:IPR000380,InterPro:IPR001412,InterPro:IPR003601,InterPro:IPR003602,InterPro:IPR005733,InterPro:IPR006154,InterPro:IPR006171,InterPro:IPR013497,NCBI_GP:ABG49550.1"
"Tery_0028"	569	1080	1035	390	860	682	540	"   156.05"	"   166.14"	"   189.65"	"   128.49"	"   156.20"	"   122.17"	"   152.22"	" 7.30"	" 7.38"	" 7.57"	" 7.02"	" 7.30"	" 6.94"	" 7.26"	"Tery_0028"	"gene27"	"CDS"	48918	49433	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG49551.1"
"Tery_0033"	1016	2303	1833	784	1657	1832	1200	"   278.64"	"   354.27"	"   335.86"	"   258.30"	"   300.96"	"   328.19"	"   338.26"	" 8.13"	" 8.47"	" 8.40"	" 8.02"	" 8.24"	" 8.36"	" 8.41"	"Tery_0033"	"gene32"	"CDS"	55816	56544	"+"	"CP000393.1"	"protein of unknown function DUF477"	"PFAM: protein of unknown function DUF477~KEGG: ava:Ava_0806 protein of unknown function DUF477"	"InterPro:IPR007621,NCBI_GP:ABG49553.1"
"Tery_0034"	493	910	852	546	977	845	468	"   135.21"	"   139.98"	"   156.11"	"   179.89"	"   177.45"	"   151.37"	"   131.92"	" 7.09"	" 7.14"	" 7.30"	" 7.50"	" 7.48"	" 7.25"	" 7.05"	"Tery_0034"	"gene33"	"CDS"	56599	56982	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:all4101 hypothetical protein"	"NCBI_GP:ABG49554.1"
"Tery_0035"	18	30	30	6	27	31	9	"     4.94"	"     4.61"	"     5.50"	"     1.98"	"     4.90"	"     5.55"	"     2.54"	" 2.57"	" 2.49"	" 2.70"	" 1.57"	" 2.56"	" 2.71"	" 1.82"	"Tery_0035"	"gene34"	"CDS"	57894	58106	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG49555.1"
"Tery_0037"	3	5	6	4	2	2	3	"     0.82"	"     0.77"	"     1.10"	"     1.32"	"     0.36"	"     0.36"	"     0.85"	" 0.87"	" 0.82"	" 1.07"	" 1.21"	" 0.45"	" 0.44"	" 0.88"	"Tery_0037"	"gene36"	"CDS"	59088	59294	"+"	"CP000393.1"	"putative transposase gene of IS630 family insertion sequence ISY100h"	"KEGG: syn:sll0431 putative transposase gene of IS630 family insertion sequence ISY100h"	"NCBI_GP:ABG49556.1"
"Tery_0040"	51	157	123	44	104	127	85	"    13.99"	"    24.15"	"    22.54"	"    14.50"	"    18.89"	"    22.75"	"    23.96"	" 3.91"	" 4.65"	" 4.56"	" 3.95"	" 4.31"	" 4.57"	" 4.64"	"Tery_0040"	"gene39"	"CDS"	63117	63416	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:all0403 hypothetical protein"	"NCBI_GP:ABG49558.1"
"Tery_0041"	349	432	383	91	155	230	113	"    95.71"	"    66.45"	"    70.18"	"    29.98"	"    28.15"	"    41.20"	"    31.85"	" 6.60"	" 6.08"	" 6.15"	" 4.95"	" 4.87"	" 5.40"	" 5.04"	"Tery_0041"	"gene40"	"CDS"	64428	64763	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr3811 hypothetical protein"	"NCBI_GP:ABG49559.1"
"Tery_0043"	165	255	255	111	186	226	148	"    45.25"	"    39.23"	"    46.72"	"    36.57"	"    33.78"	"    40.49"	"    41.72"	" 5.53"	" 5.33"	" 5.58"	" 5.23"	" 5.12"	" 5.37"	" 5.42"	"Tery_0043"	"gene42"	"CDS"	66565	67806	"-"	"CP000393.1"	"glutamate N-acetyltransferase / N-acetylglutamate synthase"	"KEGG: ana:alr2073 glutamate N-acetyltransferase~TIGRFAM: arginine biosynthesis bifunctional protein ArgJ~PFAM: arginine biosynthesis protein ArgJ"	"InterPro:IPR002813,NCBI_GP:ABG49560.1"
"Tery_0045"	1429	2250	2315	1263	2468	2042	1555	"   391.90"	"   346.12"	"   424.18"	"   416.12"	"   448.26"	"   365.81"	"   438.33"	" 8.62"	" 8.44"	" 8.73"	" 8.70"	" 8.81"	" 8.52"	" 8.78"	"Tery_0045"	"gene44"	"CDS"	68747	70330	"-"	"CP000393.1"	"glycoside hydrolase%2C family 57"	"PFAM: glycoside hydrolase%2C family 57~KEGG: ava:Ava_0382 glycoside hydrolase%2C family 57"	"InterPro:IPR004300,NCBI_GP:ABG49561.1"
"Tery_0046"	29	75	59	30	56	30	44	"     7.95"	"    11.54"	"    10.81"	"     9.88"	"    10.17"	"     5.37"	"    12.40"	" 3.16"	" 3.65"	" 3.56"	" 3.44"	" 3.48"	" 2.67"	" 3.74"	"Tery_0046"	"gene45"	"CDS"	71135	71347	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG49562.1"
"Tery_0047"	122	138	133	50	128	97	74	"    33.46"	"    21.23"	"    24.37"	"    16.47"	"    23.25"	"    17.38"	"    20.86"	" 5.11"	" 4.47"	" 4.67"	" 4.13"	" 4.60"	" 4.20"	" 4.45"	"Tery_0047"	"gene46"	"CDS"	71367	72836	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: rru:Rru_A3262 hypothetical protein"	"NCBI_GP:ABG49563.1"
"Tery_0050"	5	8	14	4	7	2	4	"     1.37"	"     1.23"	"     2.57"	"     1.32"	"     1.27"	"     0.36"	"     1.13"	" 1.25"	" 1.16"	" 1.83"	" 1.21"	" 1.18"	" 0.44"	" 1.09"	"Tery_0050"	"gene49"	"CDS"	73849	74169	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG49565.1"
"Tery_0054"	27	39	37	13	38	40	18	"     7.40"	"     6.00"	"     6.78"	"     4.28"	"     6.90"	"     7.17"	"     5.07"	" 3.07"	" 2.81"	" 2.96"	" 2.40"	" 2.98"	" 3.03"	" 2.60"	"Tery_0054"	"gene53"	"CDS"	76285	76875	"+"	"CP000393.1"	"putative signal transduction protein with Nacht domain"	"KEGG: ana:alr9015 unknown protein"	"InterPro:IPR007111,NCBI_GP:ABG49568.1"
"Tery_0057"	48	85	69	40	74	62	40	"    13.16"	"    13.08"	"    12.64"	"    13.18"	"    13.44"	"    11.11"	"    11.28"	" 3.82"	" 3.82"	" 3.77"	" 3.83"	" 3.85"	" 3.60"	" 3.62"	"Tery_0057"	"gene56"	"CDS"	78349	81126	"+"	"CP000393.1"	"HEAT domain containing protein"	"PFAM: HEAT domain containing protein~KEGG: pfa:PF11_0486 MAEBL%2C putative"	"InterPro:IPR000357,NCBI_GP:ABG49570.1"
"Tery_0058"	67	145	136	61	121	105	64	"    18.37"	"    22.31"	"    24.92"	"    20.10"	"    21.98"	"    18.81"	"    18.04"	" 4.28"	" 4.54"	" 4.70"	" 4.40"	" 4.52"	" 4.31"	" 4.25"	"Tery_0058"	"gene57"	"CDS"	81365	81982	"-"	"CP000393.1"	"pentapeptide repeat"	"PFAM: pentapeptide repeat~KEGG: mba:Mbar_A0710 hypothetical protein"	"InterPro:IPR001646,NCBI_GP:ABG49571.1"
"Tery_0059"	1949	4534	3816	1506	3315	2748	2371	"   534.51"	"   697.46"	"   699.21"	"   496.18"	"   602.10"	"   492.28"	"   668.35"	" 9.06"	" 9.45"	" 9.45"	" 8.96"	" 9.24"	" 8.95"	" 9.39"	"Tery_0059"	"gene58"	"CDS"	82492	84570	"-"	"CP000393.1"	"serine/threonine protein kinase with WD40 repeats"	"PFAM: protein kinase WD-40 repeat~SMART: Serine/threonine protein kinase~KEGG: ava:Ava_2851 serine/threonine protein kinase with WD40 repeats"	"InterPro:IPR000719,InterPro:IPR001680,InterPro:IPR002290,InterPro:IPR008271,NCBI_GP:ABG49572.1"
"Tery_0060"	515	947	751	402	752	961	519	"   141.24"	"   145.68"	"   137.61"	"   132.45"	"   136.58"	"   172.15"	"   146.30"	" 7.15"	" 7.20"	" 7.11"	" 7.06"	" 7.10"	" 7.44"	" 7.20"	"Tery_0060"	"gene59"	"CDS"	84932	85924	"+"	"CP000393.1"	"oxidoreductase%2C molybdopterin binding"	"PFAM: oxidoreductase%2C molybdopterin binding~KEGG: cyb:CYB_1827 oxidoreductase molybdopterin binding domain"	"InterPro:IPR000572,NCBI_GP:ABG49573.1"
"Tery_0064"	15	38	21	16	29	28	10	"     4.11"	"     5.85"	"     3.85"	"     5.27"	"     5.27"	"     5.02"	"     2.82"	" 2.35"	" 2.78"	" 2.28"	" 2.65"	" 2.65"	" 2.59"	" 1.93"	"Tery_0064"	"gene63"	"CDS"	90562	90864	"-"	"CP000393.1"	"hypothetical protein"	"KEGG: gvi:gll2563 putative transposase"	"NCBI_GP:ABG49574.1"
"Tery_0065"	26	30	18	13	30	14	11	"     7.13"	"     4.61"	"     3.30"	"     4.28"	"     5.45"	"     2.51"	"     3.10"	" 3.02"	" 2.49"	" 2.10"	" 2.40"	" 2.69"	" 1.81"	" 2.04"	"Tery_0065"	"gene64"	"CDS"	92566	92754	"-"	"CP000393.1"	"transposase"	"KEGG: ava:Ava_2371 transposase"	"NCBI_GP:ABG49575.1"
"Tery_0066"	29	48	33	28	63	37	16	"     7.95"	"     7.38"	"     6.05"	"     9.23"	"    11.44"	"     6.63"	"     4.51"	" 3.16"	" 3.07"	" 2.82"	" 3.35"	" 3.64"	" 2.93"	" 2.46"	"Tery_0066"	"gene65"	"CDS"	92879	93088	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG49576.1"
"Tery_0068"	2696	6654	4827	2729	7094	3131	2626	"   739.38"	"  1023.58"	"   884.46"	"   899.12"	"  1288.47"	"   560.89"	"   740.23"	" 9.53"	"10.00"	" 9.79"	" 9.81"	"10.33"	" 9.13"	" 9.53"	"Tery_0068"	"gene67"	"CDS"	94221	94430	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: syf:Synpcc7942_1822 hypothetical protein"	"NCBI_GP:ABG49577.1"
"Tery_0069"	1467	2969	2301	1276	2363	2570	1565	"   402.32"	"   456.72"	"   421.62"	"   420.40"	"   429.19"	"   460.39"	"   441.15"	" 8.66"	" 8.84"	" 8.72"	" 8.72"	" 8.75"	" 8.85"	" 8.79"	"Tery_0069"	"gene68"	"CDS"	94683	96173	"+"	"CP000393.1"	"leucyl aminopeptidase. Metallo peptidase. MEROPS family M17"	"PFAM: peptidase M17%2C leucyl aminopeptidase-like~KEGG: ava:Ava_2727 leucyl aminopeptidase"	"InterPro:IPR000819,InterPro:IPR008283,NCBI_GP:ABG49578.1"
"Tery_0070"	3	11	3	6	11	12	4	"     0.82"	"     1.69"	"     0.55"	"     1.98"	"     2.00"	"     2.15"	"     1.13"	" 0.87"	" 1.43"	" 0.63"	" 1.57"	" 1.58"	" 1.66"	" 1.09"	"Tery_0070"	"gene69"	"CDS"	96964	97182	"-"	"CP000393.1"	"hypothetical protein"	"KEGG: ana:alr5158 transposase"	"NCBI_GP:ABG49579.1"
"Tery_0071"	357	714	601	262	408	732	396	"    97.91"	"   109.83"	"   110.12"	"    86.32"	"    74.10"	"   131.13"	"   111.63"	" 6.63"	" 6.79"	" 6.80"	" 6.45"	" 6.23"	" 7.05"	" 6.82"	"Tery_0071"	"gene70"	"CDS"	98280	99698	"+"	"CP000393.1"	"isocitrate dehydrogenase (NADP)"	"TIGRFAM: isocitrate dehydrogenase%2C NADP-dependent~PFAM: isocitrate/isopropylmalate dehydrogenase~KEGG: ana:alr1827 isocitrate dehydrogenase"	"InterPro:IPR001804,InterPro:IPR004439,NCBI_GP:ABG49580.1"
"Tery_0072"	297	560	380	244	455	378	222	"    81.45"	"    86.14"	"    69.63"	"    80.39"	"    82.64"	"    67.72"	"    62.58"	" 6.37"	" 6.45"	" 6.14"	" 6.35"	" 6.39"	" 6.10"	" 5.99"	"Tery_0072"	"gene71"	"CDS"	100518	101846	"+"	"CP000393.1"	"PBS lyase HEAT-like repeat"	"PFAM: HEAT domain containing protein PBS lyase HEAT-like repeat~KEGG: ana:all0605 unknown protein"	"InterPro:IPR000357,InterPro:IPR004155,NCBI_GP:ABG49581.1"
"Tery_0073"	1518	2728	2706	791	1751	1723	1264	"   416.31"	"   419.65"	"   495.83"	"   260.61"	"   318.03"	"   308.66"	"   356.30"	" 8.70"	" 8.72"	" 8.96"	" 8.03"	" 8.32"	" 8.27"	" 8.48"	"Tery_0073"	"gene72"	"CDS"	102724	103299	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG49582.1"
"Tery_0075"	164	277	323	163	253	117	196	"    44.98"	"    42.61"	"    59.18"	"    53.70"	"    45.95"	"    20.96"	"    55.25"	" 5.52"	" 5.45"	" 5.91"	" 5.77"	" 5.55"	" 4.46"	" 5.81"	"Tery_0075"	"gene74"	"CDS"	105037	105312	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: gvi:gll3036 hypothetical protein"	"NCBI_GP:ABG49583.1"
"Tery_0076"	94	286	198	97	262	166	131	"    25.78"	"    44.00"	"    36.28"	"    31.96"	"    47.59"	"    29.74"	"    36.93"	" 4.74"	" 5.49"	" 5.22"	" 5.04"	" 5.60"	" 4.94"	" 5.25"	"Tery_0076"	"gene75"	"CDS"	105879	106097	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: gvi:gll3036 hypothetical protein"	"NCBI_GP:ABG49584.1"
"Tery_0080"	278	679	510	348	582	345	327	"    76.24"	"   104.45"	"    93.45"	"   114.65"	"   105.71"	"    61.80"	"    92.18"	" 6.27"	" 6.72"	" 6.56"	" 6.85"	" 6.74"	" 5.97"	" 6.54"	"Tery_0080"	"gene79"	"CDS"	109771	110394	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: gvi:gll3036 hypothetical protein"	"NCBI_GP:ABG49588.1"
"Tery_0081"	56	77	53	47	72	69	52	"    15.36"	"    11.84"	"     9.71"	"    15.48"	"    13.08"	"    12.36"	"    14.66"	" 4.03"	" 3.68"	" 3.42"	" 4.04"	" 3.82"	" 3.74"	" 3.97"	"Tery_0081"	"gene80"	"CDS"	110607	111539	"-"	"CP000393.1"	"conserved hypothetical protein"	"TIGRFAM: conserved hypothetical protein~PFAM: diacylglycerol kinase%2C catalytic region~KEGG: ana:alr2881 hypothetical protein"	"InterPro:IPR001206,InterPro:IPR005218,NCBI_GP:ABG49589.1"
"Tery_0082"	241	467	390	328	388	593	243	"    66.09"	"    71.84"	"    71.46"	"   108.07"	"    70.47"	"   106.23"	"    68.50"	" 6.07"	" 6.19"	" 6.18"	" 6.77"	" 6.16"	" 6.74"	" 6.12"	"Tery_0082"	"gene81"	"CDS"	113289	115082	"-"	"CP000393.1"	"metallophosphoesterase"	"PFAM: metallophosphoesterase~KEGG: syn:sll1064 hypothetical protein"	"InterPro:IPR004843,NCBI_GP:ABG49590.1"
"Tery_0085"	27	70	48	39	60	53	32	"     7.40"	"    10.77"	"     8.80"	"    12.85"	"    10.90"	"     9.49"	"     9.02"	" 3.07"	" 3.56"	" 3.29"	" 3.79"	" 3.57"	" 3.39"	" 3.32"	"Tery_0085"	"gene84"	"CDS"	116114	116977	"+"	"CP000393.1"	"sulfotransferase"	"PFAM: sulfotransferase~KEGG: cel:Y113G7A.11 Hypothetical protein Y113G7A.11"	"InterPro:IPR000863,NCBI_GP:ABG49592.1"
"Tery_0087"	354	652	594	371	514	827	441	"    97.08"	"   100.30"	"   108.84"	"   122.23"	"    93.36"	"   148.15"	"   124.31"	" 6.62"	" 6.66"	" 6.78"	" 6.95"	" 6.56"	" 7.22"	" 6.97"	"Tery_0087"	"gene86"	"CDS"	119376	121190	"+"	"CP000393.1"	"aspartate kinase"	"KEGG: ava:Ava_3642 aspartate kinase~TIGRFAM: aspartate kinase aspartate kinase%2C monofunctional class~PFAM: aspartate/glutamate/uridylate kinase amino acid-binding ACT"	"InterPro:IPR001048,InterPro:IPR001341,InterPro:IPR002912,InterPro:IPR005260,NCBI_GP:ABG49593.1"
