""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_3404"	334.557003366783	689.137433078783	91.5662321208854	344.46273052363	-2.91281137281597	0.234244046629141	-12.4349430208896	1.6886116260503e-35	5.63689262805155e-33	69	110	133	442	864	442	252	"    18.92"	"    16.92"	"    24.37"	"   145.62"	"   156.93"	"    79.18"	"    71.04"	" 4.2429"	" 4.0816"	" 4.6076"	" 7.1862"	" 7.2940"	" 6.3073"	" 6.1507"	"Tery_3404"	"gene3433"	"CDS"	5213167	5213691	"-"	"CP000393.1"	"ferric uptake regulator%2C Fur family"	"PFAM: ferric-uptake regulator~KEGG: syn:sll0567 ferric uptake regulation protein"	"InterPro:IPR002481,NCBI_GP:ABG52505.1"
"Tery_0847"	1362.78180237484	262.960108764054	2358.81323356683	968.55634919763	3.15777101087428	0.266846810354894	11.8336472025826	2.61526069225542e-32	8.00269771830158e-30	1379	4202	2870	142	378	1269	692	"   378.19"	"   646.39"	"   525.88"	"    46.78"	"    68.66"	"   227.33"	"   195.06"	" 8.5630"	" 9.3363"	" 9.0386"	" 5.5483"	" 6.1015"	" 7.8287"	" 7.6079"	"Tery_0847"	"gene853"	"CDS"	1341178	1343412	"-"	"CP000393.1"	"methionine synthase (B12-independent)"	"PFAM: Methionine synthase%2C vitamin-B12 independent Cobalamin-independent synthase MetE-like~KEGG: cya:CYA_0148 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase"	"InterPro:IPR002629,InterPro:IPR013215,NCBI_GP:ABG50257.1"
"Tery_1667"	26269.6488510135	58982.837220559	555.933889215782	32127.0329241644	-6.72921441072384	0.598732317084355	-11.2391033834503	2.62030090986711e-29	7.40134226233234e-27	452	852	603	40970	68259	64135	9007	"   123.96"	"   131.06"	"   110.49"	" 13498.28"	" 12397.75"	" 11489.20"	"  2538.94"	" 6.9539"	" 7.0342"	" 6.7879"	"13.7205"	"13.5978"	"13.4880"	"11.3100"	"Tery_1667"	"gene1677"	"CDS"	2534182	2535216	"-"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like~KEGG: ana:all4001 photosystem II chlorophyll a-binding protein"	"InterPro:IPR000169,InterPro:IPR000932,NCBI_GP:ABG50938.1"
"Tery_2484"	9612.60989929685	20010.9854897685	69.5299677304552	13528.8542061748	-8.16364923549418	0.777135210769298	-10.5047990650338	8.2097446670728e-26	2.15329874410652e-23	32	172	57	14120	22759	25389	4817	"     8.78"	"    26.46"	"    10.44"	"  4652.08"	"  4133.67"	"  4548.21"	"  1357.84"	" 3.1352"	" 4.7262"	" 3.3860"	"12.1837"	"12.0132"	"12.1511"	"10.4071"	"Tery_2484"	"gene2506"	"CDS"	3827539	3828570	"+"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like~KEGG: ana:all4003 photosystem II CP43 protein PsbC homolog"	"InterPro:IPR000169,InterPro:IPR000932,NCBI_GP:ABG51692.1"
"Tery_0831"	436.427149032464	694.569032191622	166.850828242539	582.649747058195	-2.05024254551895	0.211717501428515	-9.68385953775863	3.5312756173422e-22	8.48314234637265e-20	117	271	196	468	830	718	445	"    32.09"	"    41.69"	"    35.91"	"   154.19"	"   150.75"	"   128.62"	"   125.44"	" 5.0044"	" 5.3819"	" 5.1669"	" 7.2687"	" 7.2361"	" 7.0071"	" 6.9710"	"Tery_0831"	"gene837"	"CDS"	1318857	1319852	"-"	"CP000393.1"	"Twin-arginine translocation pathway signal"	"TIGRFAM: Twin-arginine translocation pathway signal~PFAM: multicopper oxidase%2C type 2  multicopper oxidase%2C type 3~KEGG: ava:Ava_1760 multicopper oxidase%2C types 2 and 3"	"InterPro:IPR001287,InterPro:IPR006311,InterPro:IPR011706,InterPro:IPR011707,NCBI_GP:ABG50245.1"
"Tery_1662"	79.0297871094994	198.422202202181	17.6613015991751	51.690100282304	-3.51501843552691	0.363152158197626	-9.67918916680112	3.69635832085954e-22	8.48314234637265e-20	17	19	22	147	213	85	26	"     4.66"	"     2.92"	"     4.03"	"    48.43"	"    38.69"	"    15.23"	"     7.33"	" 2.2241"	" 1.5523"	" 2.0147"	" 5.5982"	" 5.2741"	" 3.9295"	" 2.8756"	"Tery_1662"	"gene1672"	"CDS"	2528196	2528942	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_1216 hypothetical protein"	"NCBI_GP:ABG50933.1"
"Tery_2485"	9262.07698630275	21453.2766984411	67.0134584341262	10863.4725659673	-8.31726867331492	0.862887188518938	-9.63888302431597	5.47807891869659e-22	1.18326504643846e-19	28	185	43	13726	26958	19219	4607	"     7.68"	"    28.46"	"     7.88"	"  4522.27"	"  4896.33"	"  3442.91"	"  1298.65"	" 2.9428"	" 4.8313"	" 2.9798"	"12.1428"	"12.2575"	"11.7494"	"10.3428"	"Tery_2485"	"gene2507"	"CDS"	3828573	3830141	"+"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like photosystem I reaction centre%2C subunit XI PsaL~KEGG: ana:all4002 photosystem II CP43 protein PsbC homolog"	"InterPro:IPR000932,InterPro:IPR003757,NCBI_GP:ABG51693.1"
"Tery_3032"	1954.03455017039	3108.90218151714	886.26373025769	2400.82314869269	-1.80990009041	0.190224995542668	-9.51452297447439	1.82548484631086e-21	3.72398908647416e-19	693	1366	996	2118	3673	3165	1703	"   190.06"	"   210.13"	"   182.50"	"   697.81"	"   667.12"	"   566.98"	"   480.05"	" 7.5704"	" 7.7152"	" 7.5118"	" 9.4467"	" 9.3818"	" 9.1472"	" 8.9071"	"Tery_3032"	"gene3058"	"CDS"	4682776	4683933	"+"	"CP000393.1"	"Cupin 4"	"PFAM: Cupin 4~KEGG: syf:Synpcc7942_0373 hypothetical protein"	"InterPro:IPR006162,InterPro:IPR007113,InterPro:IPR013109,NCBI_GP:ABG52183.1"
"Tery_4138"	23275.6606217579	8090.97873803586	37590.3134486934	16988.3632650767	2.21606490511348	0.233882522713206	9.47511972850952	2.6645496051381e-21	5.14959271056163e-19	35772	39961	47842	5777	9079	18703	14387	"  9810.47"	"  6147.16"	"  8766.19"	"  1903.33"	"  1649.00"	"  3350.47"	"  4055.49"	"13.2601"	"12.5857"	"13.0977"	"10.8943"	"10.6874"	"11.7102"	"11.9857"	"Tery_4138"	"gene4178"	"CDS"	6383569	6385107	"+"	"CP000393.1"	"nitrogenase molybdenum-iron protein beta chain"	"KEGG: ana:all1440 nitrogenase molybdenum-iron protein beta chain~TIGRFAM: nitrogenase molybdenum-iron protein beta chain~PFAM: oxidoreductase/nitrogenase%2C component 1"	"InterPro:IPR000318,InterPro:IPR000510,InterPro:IPR005976,NCBI_GP:ABG53146.1"
"Tery_3822"	2801.95141311588	6564.87555250816	946.928142470876	1821.56217969113	-2.79444049165021	0.318609019273049	-8.77075136801248	1.7747795186773e-18	3.25849519629152e-16	984	1254	873	4846	7079	3108	845	"   269.86"	"   192.90"	"   159.96"	"  1596.60"	"  1285.74"	"   556.77"	"   238.19"	" 8.0761"	" 7.5918"	" 7.3217"	"10.6408"	"10.3284"	" 9.1210"	" 7.8960"	"Tery_3822"	"gene3859"	"CDS"	5887337	5891401	"+"	"CP000393.1"	"beta-ketoacyl synthase"	"PFAM: beta-ketoacyl synthase  Thioesterase  acyl transferase region phosphopantetheine-binding~KEGG: ava:Ava_3986 short-chain dehydrogenase/reductase SDR"	"InterPro:IPR000379,InterPro:IPR000794,InterPro:IPR001031,InterPro:IPR001227,InterPro:IPR003965,InterPro:IPR006162,InterPro:IPR006163,NCBI_GP:ABG52866.1"
"Tery_3820"	4129.03958841161	9516.83992729614	1341.24672612006	2922.92854296442	-2.82746992691525	0.323040335517469	-8.75268384793499	2.08337730867731e-18	3.64293403688718e-16	1356	1832	1246	7173	9994	5055	1313	"   371.88"	"   281.81"	"   228.31"	"  2363.27"	"  1815.19"	"   905.56"	"   370.12"	" 8.5387"	" 8.1387"	" 7.8349"	"11.2066"	"10.8259"	" 9.8227"	" 8.5319"	"Tery_3820"	"gene3857"	"CDS"	5876968	5881329	"+"	"CP000393.1"	"AMP-dependent synthetase and ligase"	"PFAM: AMP-dependent synthetase and ligase condensation domain  phosphopantetheine-binding~KEGG: mlo:mll6983 similar to coenzyme a synthetase"	"InterPro:IPR000873,InterPro:IPR001242,InterPro:IPR002086,InterPro:IPR006163,NCBI_GP:ABG52864.1"
"Tery_3818"	1445.34336259432	3049.43547192008	514.33533128533	1237.76330023203	-2.56795737365032	0.301314751176771	-8.52250798748246	1.56134880113077e-17	2.60603308988736e-15	437	801	519	2047	3658	2128	564	"   119.85"	"   123.22"	"    95.10"	"   674.42"	"   664.40"	"   381.21"	"   158.98"	" 6.9052"	" 6.9452"	" 6.5715"	" 9.3975"	" 9.3759"	" 8.5745"	" 7.3128"	"Tery_3818"	"gene3855"	"CDS"	5868027	5869220	"+"	"CP000393.1"	"glycosyl transferase%2C group 1"	"PFAM: glycosyl transferase%2C group 1~KEGG: bha:BH2305 lipopolysaccharide N-acetylglucosaminyltransferase"	"InterPro:IPR001296,NCBI_GP:ABG52862.1"
"Tery_3824"	599.969264042162	1319.76426150947	228.888501885076	436.795409810485	-2.52861661049009	0.297506933123021	-8.49935355773538	1.90649402344745e-17	3.0437591539561e-15	194	324	259	870	1612	751	199	"    53.20"	"    49.84"	"    47.46"	"   286.64"	"   292.78"	"   134.53"	"    56.10"	" 5.7337"	" 5.6395"	" 5.5689"	" 8.1631"	" 8.1937"	" 7.0719"	" 5.8101"	"Tery_3824"	"gene3861"	"CDS"	5892400	5893881	"+"	"CP000393.1"	"putative flavin-binding monooxygenase"	"KEGG: pae:PA2097 probable flavin-binding monooxygenase"	"InterPro:IPR000103,InterPro:IPR000759,InterPro:IPR013027,NCBI_GP:ABG52868.1"
"Tery_4141"	1260.68849273121	508.537142051851	1840.04126542858	1143.81068436451	1.85204005820149	0.223850659829241	8.27355192794282	1.30026132896733e-16	1.98939983332001e-14	1826	2267	1968	316	656	1382	891	"   500.78"	"   348.73"	"   360.60"	"   104.11"	"   119.15"	"   247.57"	"   251.16"	" 8.9681"	" 8.4460"	" 8.4943"	" 6.7021"	" 6.8967"	" 7.9518"	" 7.9725"	"Tery_4141"	"gene4181"	"CDS"	6388944	6389414	"+"	"CP000393.1"	"protein of unknown function DUF269"	"PFAM: protein of unknown function DUF269~KEGG: ava:Ava_4253 protein of unknown function DUF269"	"InterPro:IPR004952,NCBI_GP:ABG53149.1"
"Tery_3819"	6630.17113589347	14806.7194303417	2292.00576003002	4960.87090524048	-2.69201508405764	0.325910400732179	-8.25998519227939	1.45690540195654e-16	2.13990265439376e-14	2471	2897	2096	11580	14788	8370	2361	"   677.67"	"   445.64"	"   384.05"	"  3815.23"	"  2685.92"	"  1499.41"	"   665.53"	" 9.4045"	" 8.7998"	" 8.5852"	"11.8976"	"11.3912"	"10.5502"	" 9.3784"	"Tery_3819"	"gene3856"	"CDS"	5869316	5876971	"+"	"CP000393.1"	"beta-ketoacyl synthase"	"PFAM: beta-ketoacyl synthase  acyl transferase region short-chain dehydrogenase/reductase SDR phosphopantetheine-binding  Alcohol dehydrogenase%2C zinc-binding Alcohol dehydrogenase GroES-like Methyltransferase type 11 Methyltransferase type 12~KEGG: ana:alr2680 polyketide synthase"	"InterPro:IPR000051,InterPro:IPR000794,InterPro:IPR001227,InterPro:IPR001601,InterPro:IPR002198,InterPro:IPR006162,InterPro:IPR006163,InterPro:IPR013149,InterPro:IPR013154,InterPro:IPR013216,InterPro:IPR013217,NCBI_GP:ABG52863.1"
"Tery_0280"	637.163241935465	245.473905823666	987.440053001901	503.437361447608	2.00388772357172	0.245603120864751	8.1590482910648	3.37674630806215e-16	4.76900478584778e-14	883	1175	1236	154	314	490	467	"   242.16"	"   180.75"	"   226.47"	"    50.74"	"    57.03"	"    87.78"	"   131.64"	" 7.9199"	" 7.4979"	" 7.8233"	" 5.6653"	" 5.8339"	" 6.4560"	" 7.0406"	"Tery_0280"	"gene283"	"CDS"	431615	432115	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_B0181 hypothetical protein"	"NCBI_GP:ABG49762.1"
"Tery_4133"	8086.24021070469	3020.22982941057	11914.2486895092	7410.23787379198	1.98012670963333	0.246557615136573	8.03109126658487	9.66094492108462e-16	1.31388850926751e-13	12159	12802	13821	2162	3379	7884	6449	"  3334.61"	"  1969.32"	"  2532.45"	"   712.31"	"   613.72"	"  1412.35"	"  1817.88"	"11.7033"	"10.9435"	"11.3063"	" 9.4764"	" 9.2615"	"10.4639"	"10.8280"	"Tery_4133"	"gene4173"	"CDS"	6375963	6377432	"+"	"CP000393.1"	"nitrogenase cofactor biosynthesis protein NifB"	"TIGRFAM: nitrogenase cofactor biosynthesis protein NifB~PFAM: Dinitrogenase iron-molybdenum cofactor biosynthesis  Radical SAM~KEGG: ava:Ava_3912 nitrogenase cofactor biosynthesis protein NifB"	"InterPro:IPR000385,InterPro:IPR003731,InterPro:IPR005980,InterPro:IPR007197,NCBI_GP:ABG53141.1"
"Tery_3963"	1803.09520373301	836.007471594218	2539.46128224874	1665.63381809819	1.60235295173971	0.202066259874999	7.92983921576491	2.19429794278608e-15	2.87766501639661e-13	2361	3112	2968	560	1005	2018	1294	"   647.50"	"   478.72"	"   543.83"	"   184.50"	"   182.54"	"   361.51"	"   364.76"	" 9.3388"	" 8.9031"	" 9.0870"	" 7.5276"	" 7.5121"	" 8.4979"	" 8.5108"	"Tery_3963"	"gene4001"	"CDS"	6126370	6127230	"+"	"CP000393.1"	"Aldose 1-epimerase"	"PFAM: Aldose 1-epimerase~KEGG: ava:Ava_4277 aldose 1-epimerase"	"InterPro:IPR008183,NCBI_GP:ABG52988.1"
"Tery_4136"	30722.431022931	11464.6834512723	47114.7237445712	25391.7395121295	2.03917242268711	0.258167320079134	7.8986465911412	2.8194805165532e-15	3.57004567475288e-13	46818	49669	57351	9213	11003	29046	20813	" 12839.84"	"  7640.53"	" 10508.54"	"  3035.38"	"  1998.45"	"  5203.33"	"  5866.89"	"13.6483"	"12.8995"	"13.3593"	"11.5677"	"10.9647"	"12.3452"	"12.5184"	"Tery_4136"	"gene4176"	"CDS"	6380808	6381698	"+"	"CP000393.1"	"nitrogenase iron protein subunit NifH"	"KEGG: ava:Ava_3916 nitrogenase iron protein~TIGRFAM: nitrogenase iron protein~PFAM: NifH/frxC"	"InterPro:IPR000392,InterPro:IPR002110,InterPro:IPR005977,NCBI_GP:ABG53144.1"
"Tery_3064"	175.695913857044	33.4452920440443	330.502614477093	85.7364847399694	3.363017106083	0.431003917064283	7.80275299813902	6.05710330208014e-15	7.4138944417461e-13	361	342	359	33	21	59	95	"    99.00"	"    52.61"	"    65.78"	"    10.87"	"     3.81"	"    10.57"	"    26.78"	" 6.6296"	" 5.7175"	" 6.0398"	" 3.4439"	" 1.9352"	" 3.4032"	" 4.7436"	"Tery_3064"	"gene3090"	"CDS"	4722704	4723204	"+"	"CP000393.1"	"heat shock protein Hsp20"	"PFAM: heat shock protein Hsp20~KEGG: ava:Ava_3076 heat shock protein HSP20"	"InterPro:IPR002068,NCBI_GP:ABG52208.1"
"Tery_3817"	2304.04238943907	4873.94634018346	691.200852422412	2153.40074421967	-2.8177182686744	0.362597628938027	-7.77092303920163	7.79162310817297e-15	8.94088751662849e-13	604	1153	608	4055	4427	3908	851	"   165.65"	"   177.36"	"   111.41"	"  1335.99"	"   804.07"	"   700.08"	"   239.88"	" 7.3721"	" 7.4707"	" 6.7998"	"10.3837"	" 9.6512"	" 9.4514"	" 7.9063"	"Tery_3817"	"gene3854"	"CDS"	5867650	5867856	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG52861.1"
"Tery_4142"	5329.80802830754	2200.78204550887	8151.70523867608	4225.98819555338	1.88814502317734	0.242925906090153	7.77251407051098	7.69434547502331e-15	8.94088751662849e-13	8479	8940	9065	1314	2936	4970	3378	"  2325.37"	"  1375.23"	"  1661.00"	"   432.92"	"   533.26"	"   890.33"	"   952.21"	"11.1832"	"10.4255"	"10.6978"	" 8.7580"	" 9.0587"	" 9.7982"	" 9.8952"	"Tery_4142"	"gene4182"	"CDS"	6389619	6389930	"+"	"CP000393.1"	"nitrogen fixation protein NifW"	"PFAM: nitrogen fixation protein NifW~KEGG: ava:Ava_3937 nitrogen fixation protein NifW"	"InterPro:IPR004893,NCBI_GP:ABG53150.1"
"Tery_3825"	3455.91941147207	7390.68308269987	1117.2790934686	3029.11621724949	-2.72580276953158	0.356149688154619	-7.65353125438706	1.95534086873009e-14	2.17576111211421e-12	1004	1654	1118	5900	7164	5608	1127	"   275.35"	"   254.43"	"   204.85"	"  1943.86"	"  1301.18"	"  1004.62"	"   317.69"	" 8.1052"	" 7.9912"	" 7.6785"	"10.9247"	"10.3456"	" 9.9725"	" 8.3115"	"Tery_3825"	"gene3862"	"CDS"	5894131	5895816	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: bps:BPSL1637 putative lipase"	"NCBI_GP:ABG52869.1"
"Tery_3821"	3735.66094253573	8626.53408679301	1184.98864426642	2670.79624568241	-2.86460393345393	0.375508070322606	-7.62860817077219	2.37301684543988e-14	2.48963367327293e-12	1314	1587	954	6838	8450	4873	1039	"   360.36"	"   244.13"	"   174.80"	"  2252.90"	"  1534.76"	"   872.95"	"   292.88"	" 8.4934"	" 7.9315"	" 7.4497"	"11.1376"	"10.5838"	" 9.7698"	" 8.1942"	"Tery_3821"	"gene3858"	"CDS"	5881443	5887172	"+"	"CP000393.1"	"beta-ketoacyl synthase"	"PFAM: beta-ketoacyl synthase  acyl transferase region short-chain dehydrogenase/reductase SDR phosphopantetheine-binding~KEGG: ava:Ava_3986 short-chain dehydrogenase/reductase SDR"	"InterPro:IPR000794,InterPro:IPR001227,InterPro:IPR002198,InterPro:IPR006163,NCBI_GP:ABG52865.1"
"Tery_4137"	29002.4049465404	12055.8159837024	43118.6759129415	24774.5874597769	1.83874542695999	0.240978168991108	7.63034026965257	2.34134897674101e-14	2.48963367327293e-12	41808	46691	53001	9382	12125	29946	19291	" 11465.85"	"  7182.43"	"  9711.48"	"  3091.06"	"  2202.24"	"  5364.55"	"  5437.86"	"13.4851"	"12.8103"	"13.2455"	"11.5939"	"11.1048"	"12.3892"	"12.4088"	"Tery_4137"	"gene4177"	"CDS"	6381887	6383344	"+"	"CP000393.1"	"nitrogenase molybdenum-iron protein alpha chain"	"KEGG: cyb:CYB_0422 nitrogenase molybdenum-iron protein alpha chain~TIGRFAM: nitrogenase molybdenum-iron protein alpha chain  nitrogenase component I%2C alpha chain~PFAM: oxidoreductase/nitrogenase%2C component 1"	"InterPro:IPR000318,InterPro:IPR000510,InterPro:IPR005972,InterPro:IPR010143,NCBI_GP:ABG53145.1"
