#chromosome	start	end	log2FoldChange
CP000393.1	3456683	3456907	-0.920483582640553
CP000393.1	4929944	4931611	-0.909445459169378
CP000393.1	1180763	1180939	0.6560053991860479
CP000393.1	2546360	2547577	-0.609321808646479
CP000393.1	7161688	7162569	0.6987002197881421
CP000393.1	6837740	6838732	0.5796651081060671
CP000393.1	6303539	6304093	0.6125240760902609
CP000393.1	7726233	7726496	-0.657738578483152
CP000393.1	4468062	4468880	0.3969582339004079
CP000393.1	3609064	3609378	0.869211040235237
CP000393.1	1447844	1448134	-0.721804566451616
CP000393.1	6569656	6570324	1.03791568788427
CP000393.1	2115235	2116080	0.582126999675215
CP000393.1	268161	269534	-0.5710753395270219
CP000393.1	2650665	2652191	0.713573240231992
CP000393.1	4752054	4752290	0.8673715728114619
CP000393.1	4760034	4760792	1.08462165784393
CP000393.1	6968568	6970028	0.67544479867635
CP000393.1	6492220	6494697	0.554990212952169
CP000393.1	4755891	4756787	0.8271396072615358
CP000393.1	1112418	1112711	-0.499954605811136
CP000393.1	5240690	5241010	-0.55226849263703
CP000393.1	2841315	2842685	-0.502590734449799
CP000393.1	6041834	6042592	0.593026781430894
CP000393.1	362733	362966	-0.44897630926412896
CP000393.1	751967	752341	0.728671670772838
CP000393.1	954378	954875	-0.9545836107155999
CP000393.1	1907660	1907941	-0.543127763387403
CP000393.1	2795958	2797253	0.6037242085369189
CP000393.1	7616499	7616936	-0.631702812017939
CP000393.1	3554368	3554751	0.471212410226496
CP000393.1	1522901	1523875	-0.544196519181228
CP000393.1	3700312	3701214	-0.42102821631476595
CP000393.1	4890616	4891140	0.8180957185502391
CP000393.1	7576289	7576849	0.587523480878302
CP000393.1	1555350	1556627	0.708254072980831
CP000393.1	6219304	6219525	-0.591685314171159
CP000393.1	5705712	5706707	0.8843857483470509
CP000393.1	5826805	5828340	-0.417873225255195
CP000393.1	1128295	1129281	0.7236114251198821
CP000393.1	6871127	6871543	0.825786797118085
CP000393.1	5699408	5700592	-0.344875108914459
CP000393.1	499291	499899	0.675721162300061
CP000393.1	1281381	1282022	0.619039326960754
CP000393.1	2465013	2465300	0.607714111617598
CP000393.1	4757984	4759504	0.7477044602394101
CP000393.1	7551993	7553351	0.7050346323013801
CP000393.1	752459	752929	0.6788084791538821
CP000393.1	4756817	4757791	0.547792386970948
CP000393.1	6773251	6774537	0.7083003515367259
CP000393.1	3727114	3727506	0.4547037156103429
CP000393.1	6331607	6332476	0.685811629748082
CP000393.1	5940562	5942922	0.734575586381691
CP000393.1	330834	331637	-0.416723673911651
CP000393.1	3513238	3514542	0.527122226267569
CP000393.1	945800	947590	0.591562406577398
CP000393.1	4068935	4069144	-0.778454975490277
CP000393.1	3775803	3776918	0.553592331108412
CP000393.1	2384111	2385001	-0.41541414552824996
CP000393.1	7577442	7579460	0.45029679998326505
CP000393.1	1585964	1586881	0.412119776086307
CP000393.1	4409176	4409979	0.326467015151362
CP000393.1	5922960	5923469	0.679303781819385
CP000393.1	4041422	4043224	-0.42569990822512
CP000393.1	6605914	6606933	-0.568727541866789
CP000393.1	6775860	6776873	0.40460953477001005
CP000393.1	130201	130701	-0.610562063718852
CP000393.1	1635756	1636112	-0.769442769937206
CP000393.1	221200	222018	0.46999953842348097
CP000393.1	5800918	5801685	0.6134206564355071
CP000393.1	3119527	3120756	0.5826327302873829
CP000393.1	2876141	2876497	0.637543232218588
CP000393.1	7207628	7208401	-0.391685509588835
CP000393.1	4257314	4258822	-0.39743736703533
CP000393.1	553419	553976	-0.49704881866191997
CP000393.1	2877278	2877805	0.4562250801970229
CP000393.1	1551310	1552242	0.714566024680683
CP000393.1	5308927	5312454	0.39964431009347995
CP000393.1	1483210	1487364	-0.396450353091682
CP000393.1	2343203	2347798	0.5645444091221921
CP000393.1	1247396	1248022	-0.40038257419381895
CP000393.1	6551969	6552832	-0.583853961234768
CP000393.1	7275614	7276594	0.55405016664664
CP000393.1	7196482	7196748	-0.5234188939451471
CP000393.1	4205707	4206015	-0.41649789479894506
CP000393.1	251672	251941	0.8336411896179821
CP000393.1	7334407	7335060	-0.733656932745723
CP000393.1	4134327	4134872	0.812419076755493
CP000393.1	638761	639687	-0.467774460119214
CP000393.1	2834594	2835112	0.553316963765371
CP000393.1	1130508	1131227	0.5527032860574069
CP000393.1	4155526	4156023	0.45055887068255795
CP000393.1	1131311	1132216	0.681090930610161
CP000393.1	5855340	5856146	0.534808838351301
CP000393.1	3598479	3598706	-0.830494739645274
CP000393.1	3391278	3392735	0.4577311697653879
CP000393.1	1317053	1317484	-0.44633267910632496
CP000393.1	5860953	5861303	-0.478753565937399
CP000393.1	1579082	1580158	-0.382338471640585
CP000393.1	3914905	3915333	0.7915847874848699
CP000393.1	829610	830479	-0.9065229588946859
CP000393.1	217777	218829	0.5144929183537821
CP000393.1	3518190	3519542	0.35721543788965
CP000393.1	789431	789865	0.5076539980334579
CP000393.1	3302074	3303507	-0.590565226888418
CP000393.1	796283	797596	-0.399700467582173
CP000393.1	6767366	6769438	-0.32732276896232104
CP000393.1	1505693	1507246	-0.453244319261052
CP000393.1	2875914	2876111	0.850680283370176
CP000393.1	3108044	3108772	-0.426353286734426
CP000393.1	963524	966562	-0.518429676079186
CP000393.1	1581744	1581953	0.526281777511008
CP000393.1	2502022	2502573	0.505704534704669
CP000393.1	3207590	3209005	0.513531852056191
CP000393.1	6010625	6011098	-0.298155545621801
CP000393.1	2281661	2283121	0.342997904906556
CP000393.1	549606	550889	-0.615907250566207
CP000393.1	3333233	3333715	-0.502559124595245
CP000393.1	1519889	1521130	-0.43371286142137394
CP000393.1	2829172	2830107	0.425258075649044
CP000393.1	6626753	6630622	-0.485920376420234
CP000393.1	2865789	2866631	0.551064684587744
CP000393.1	3560276	3560788	0.659229145321531
CP000393.1	1635210	1635488	-0.6774719106777171
CP000393.1	7317742	7319271	-0.35557681441238
CP000393.1	5459828	5462536	0.335590623622055
CP000393.1	6057143	6057424	0.596407580750666
CP000393.1	3916659	3917072	0.78966642828775
CP000393.1	6872163	6873455	0.500030491998458
CP000393.1	7624222	7625325	-0.36595585347591897
CP000393.1	6113981	6115432	-0.32960207672069797
CP000393.1	1284063	1284626	0.23975731514559698
CP000393.1	7160786	7161196	0.5796725161449151
CP000393.1	7684705	7685292	-0.355423435837906
CP000393.1	27	1397	-0.30573558534486306
CP000393.1	2607210	2608274	0.454623841198475
CP000393.1	2981514	2983919	0.279594782001016
CP000393.1	2111352	2111582	-1.39523677843654
CP000393.1	1195939	1197330	0.27899787191887104
CP000393.1	1264286	1265392	0.580510246253202
CP000393.1	1580492	1581229	-0.34312366729476507
CP000393.1	5091101	5092510	-0.51530463849219
CP000393.1	5716920	5717138	0.46857404646203993
CP000393.1	2359259	2359612	-0.511587138643973
CP000393.1	6291504	6293252	-0.49089112991642697
CP000393.1	7163889	7166000	0.807622872362095
CP000393.1	2798463	2799458	-0.52884519661381
CP000393.1	3893600	3894544	-0.2892927720849
CP000393.1	5189811	5191265	0.541092807880659
CP000393.1	436168	437337	0.494290134517789
CP000393.1	5615206	5616423	0.657684170647196
CP000393.1	720211	720456	0.6440746691400739
CP000393.1	5413207	5414829	-0.39023156720680496
CP000393.1	4800164	4800823	-0.418760890454047
CP000393.1	5992847	5994253	0.306859784594249
CP000393.1	3647884	3649884	0.47793169565388
CP000393.1	6795230	6797050	-0.35987737448952706
CP000393.1	440975	442579	-0.32497970021052097
CP000393.1	3915682	3916635	0.495743749738014
CP000393.1	5345978	5346340	-0.6395025508224941
CP000393.1	1957008	1957391	-0.793090206206155
CP000393.1	3519633	3520676	0.585600387051675
CP000393.1	4322987	4323466	0.43311442033361097
CP000393.1	5104602	5105507	-0.468096548405796
CP000393.1	6434528	6435391	0.31012778765143895
CP000393.1	3162986	3165187	-0.603074783197303
CP000393.1	7381867	7383324	-0.387712578440524
CP000393.1	4472264	4472923	-0.28870566296484496
CP000393.1	3414061	3414966	0.287231777254447
CP000393.1	5040182	5040490	0.5270216972245361
CP000393.1	2017345	2018265	0.677030952976766
CP000393.1	988174	989139	0.46057117036926
CP000393.1	3844799	3848818	-0.8993920482832192
CP000393.1	1205759	1206085	-0.546277314221179
CP000393.1	1232220	1233944	0.46941910682096205
CP000393.1	2169563	2169763	0.607108037006739
CP000393.1	797861	798013	-0.522099066008526
CP000393.1	7612359	7612811	-0.5893610769062579
CP000393.1	1567748	1568413	0.30167144758623304
CP000393.1	2006188	2006691	0.256889035084698
CP000393.1	2984383	2985750	0.492379578825695
CP000393.1	3728329	3731952	-0.704021016024473
CP000393.1	7548844	7549995	0.427078282986416
CP000393.1	1194175	1195599	0.365806779028435
CP000393.1	2742065	2743078	0.386242591067664
CP000393.1	6940571	6944248	-0.743081818101727
CP000393.1	3604202	3605137	0.62246075091863
CP000393.1	4186226	4186903	-0.39354367626930997
CP000393.1	6921042	6922430	-0.31997137389852004
CP000393.1	3616506	3617300	0.456099687174216
CP000393.1	2104828	2106021	0.43858703306212893
CP000393.1	4303655	4305139	0.399629103177304
CP000393.1	5116118	5118019	0.583595089732643
CP000393.1	755363	756592	0.546628271790589
CP000393.1	5391012	5394998	-0.613069625874446
CP000393.1	3279184	3279256	-0.9954074010948409
CP000393.1	4473756	4474022	-0.35396901573988604
CP000393.1	5196897	5198582	-0.32788054161207203
CP000393.1	6420124	6421143	-0.315288159131541
CP000393.1	5094327	5095154	-0.40711889433334997
CP000393.1	277765	279303	-0.485801410829491
CP000393.1	551971	553365	-0.548382482536652
CP000393.1	1173852	1174931	0.492347505882936
CP000393.1	48918	49433	0.32818810146048
CP000393.1	5082229	5083074	-0.29129245583461305
CP000393.1	6682093	6682311	0.618433892494115
CP000393.1	969256	972612	-0.489654526225016
CP000393.1	2471985	2472380	0.37314312337518796
CP000393.1	4534599	4535207	0.545743992479998
CP000393.1	2472625	2472906	0.317744685863818
CP000393.1	3638104	3639891	0.471547159361425
CP000393.1	1416502	1418502	-0.40748935459557006
CP000393.1	7163040	7163369	0.876701566311437
CP000393.1	2718049	2719035	0.46627650072825394
CP000393.1	263727	264146	-0.51443155097149
CP000393.1	2966800	2970414	-0.291726806469082
CP000393.1	510841	512151	0.320239515632047
CP000393.1	98280	99698	0.47441441621915004
CP000393.1	3280098	3280170	-0.921756937812204
CP000393.1	1102446	1102814	0.299493117857165
CP000393.1	7432472	7432852	0.6834128000090811
CP000393.1	6013774	6014322	0.40528609407346794
CP000393.1	3600515	3601087	0.345191726368201
CP000393.1	3246669	3247730	0.43742817779841103
CP000393.1	3901498	3903078	0.306503335687512
CP000393.1	5854217	5855305	0.45083906010947994
CP000393.1	2955814	2955895	-1.2509832100146399
CP000393.1	7277652	7278023	0.43403796838988795
CP000393.1	7107744	7112276	0.5101378872926691
CP000393.1	5632783	5633388	-0.45527376323707497
CP000393.1	824434	825072	0.374093285134657
CP000393.1	2338371	2339288	-0.43428049468661895
CP000393.1	2845482	2845925	-0.37487815889615794
CP000393.1	1070417	1073758	-0.513157403314214
CP000393.1	2987968	2989605	0.424202808245725
CP000393.1	4270484	4270948	-0.515859643669924
CP000393.1	3446592	3447344	-0.5278506254122141
CP000393.1	3695481	3696530	-0.341600096502247
CP000393.1	6774620	6774793	0.504803012370755
CP000393.1	1904238	1905296	-0.325610374298863
CP000393.1	7723408	7723977	-0.409662226532456
CP000393.1	2685686	2687011	0.387274591738395
CP000393.1	5386630	5387172	-0.34304963145945805
CP000393.1	3331996	3332943	-0.43742012763128296
CP000393.1	264281	265960	-0.343872662675999
CP000393.1	5858754	5860268	0.614283372044258
CP000393.1	1103208	1103762	0.308847054665616
CP000393.1	6836852	6837598	0.46080296963886497
CP000393.1	3203402	3204736	-1.35335521518046
CP000393.1	1879465	1879581	0.560040862395427
CP000393.1	1412737	1413084	-0.7073436035034251
CP000393.1	2959029	2959595	-0.301295591944467
CP000393.1	1322985	1323788	-0.485199036855054
CP000393.1	4248054	4249226	-0.249589327953185
CP000393.1	6851335	6852024	0.431364514187914
CP000393.1	4909005	4910381	-0.41612603961212397
CP000393.1	2682530	2684572	0.48978935854865996
CP000393.1	5033087	5034139	-0.28840017820611
CP000393.1	254069	255130	0.44204589159695296
CP000393.1	1449238	1449534	-0.463167961914209
CP000393.1	1563071	1563907	0.587928334634777
CP000393.1	6621694	6623022	-0.35193991840746497
CP000393.1	3496049	3496810	-0.429926157032604
CP000393.1	4420915	4422678	0.314198713840367
CP000393.1	2778826	2781759	-0.482527137380347
CP000393.1	6021628	6023127	-0.29374809059647305
CP000393.1	2672948	2674414	0.525591200265079
CP000393.1	1672964	1674496	-0.708111733961148
CP000393.1	6336267	6337910	0.349582779413128
CP000393.1	1494752	1495789	0.759488265656749
CP000393.1	6472531	6473115	0.37424916349211
CP000393.1	4786133	4787272	0.33103888145611404
CP000393.1	823262	823753	0.616587986238641
CP000393.1	3366643	3367347	0.372195626160508
CP000393.1	3971608	3972288	0.513515645870389
CP000393.1	6757422	6758327	0.32615107793303305
CP000393.1	3711108	3711713	-0.413318560441633
CP000393.1	812023	812805	-0.611903864584739
CP000393.1	5587676	5589340	0.331162357472646
CP000393.1	1496538	1497833	0.43877192178689894
CP000393.1	4597745	4598206	0.315126728306578
CP000393.1	6808958	6811726	-0.5929165446122
CP000393.1	7376027	7376965	-0.35034085743603605
CP000393.1	4520570	4521883	-0.38782068340334297
CP000393.1	7640499	7641593	0.894717664212921
CP000393.1	4587126	4587812	-0.9596217858823649
CP000393.1	7683659	7684198	-0.3265321023109519
CP000393.1	7206064	7206546	-0.48045819371175696
CP000393.1	6398909	6399841	-0.367199432992809
CP000393.1	1971541	1972422	-0.29504632983092305
CP000393.1	3416005	3416469	-0.307494798755667
CP000393.1	6836138	6836815	-0.459313282554117
CP000393.1	3493145	3494536	-0.573131112777501
CP000393.1	6886447	6888165	-0.327965957573683
CP000393.1	5704608	5705693	0.636749043475311
CP000393.1	7043863	7044303	0.66657017713783
CP000393.1	312998	314122	-0.237346445121715
CP000393.1	3501150	3501677	0.4788447082586779
CP000393.1	7544234	7545034	-0.447652457601743
CP000393.1	1871194	1871847	-0.501678190661094
CP000393.1	6614227	6614808	-0.650891498181883
CP000393.1	1103770	1104519	0.4699854192985661
CP000393.1	2886804	2887118	0.542023364580587
CP000393.1	5520725	5521060	-0.60539708228908
CP000393.1	2373080	2373454	0.6837516910833609
CP000393.1	1538888	1539967	-0.566945514158043
CP000393.1	4205399	4205656	-0.334398173876539
CP000393.1	4699866	4700720	-0.6847216322323451
CP000393.1	6338712	6339935	0.29062307046027
CP000393.1	2447955	2448371	-0.333284568049685
CP000393.1	5828485	5829816	-0.267500259030508
CP000393.1	753026	755101	0.25223855791837396
CP000393.1	3451853	3452887	-0.28970361375181297
CP000393.1	1663280	1664551	-0.42153884798304103
CP000393.1	5209882	5210124	0.322022895444868
CP000393.1	509153	510514	0.408004584641701
CP000393.1	5906307	5916920	-0.5890031624680551
CP000393.1	2116190	2117215	0.279864958418291
CP000393.1	3151814	3152590	-0.30072753230369603
CP000393.1	628071	628838	0.619709411984956
CP000393.1	2972571	2974394	-0.40916528452668605
CP000393.1	6101870	6102787	-0.40391891238402394
CP000393.1	6761182	6762732	-0.4031173563412879
CP000393.1	654900	656402	0.288382404725709
CP000393.1	588749	591631	0.378695452370836
CP000393.1	5276368	5277183	-0.35913354034042894
CP000393.1	6704735	6705010	-0.29053004321117404
CP000393.1	6788229	6788843	0.37848076859343605
CP000393.1	2825713	2826447	0.41103361655499504
CP000393.1	2817492	2818064	0.242723795616915
CP000393.1	2238830	2239441	0.287458582373886
CP000393.1	94221	94430	-0.589607683697791
CP000393.1	6936648	6940316	-0.565439481730999
CP000393.1	2666047	2668119	-0.19905564863313
CP000393.1	3187425	3189575	-0.7158159403549191
CP000393.1	759506	760396	0.311306007934974
CP000393.1	6735476	6736471	0.392561883334914
CP000393.1	361712	362587	-0.301398271105451
CP000393.1	1407784	1407951	-0.37422804641466795
CP000393.1	1938100	1939044	-0.284098743548734
CP000393.1	4184503	4186056	-0.264486725605457
CP000393.1	5639476	5640261	-0.54665658007138
CP000393.1	5092619	5093524	-0.493564765553774
CP000393.1	5452205	5453191	0.251196812145961
CP000393.1	5962350	5962739	-0.48285825211491706
CP000393.1	2154982	2155371	-0.799018167711344
CP000393.1	7409629	7411290	0.28587168202683394
CP000393.1	2653741	2654655	0.548378838751294
CP000393.1	2794891	2795340	0.682062046653988
CP000393.1	6196364	6196486	0.37062992209423495
CP000393.1	7422646	7422951	-0.7649519517429351
CP000393.1	1934396	1935022	-0.255497299351005
CP000393.1	7371340	7372212	0.5000889520938511
CP000393.1	1213485	1213853	0.26954618247261
CP000393.1	2604670	2605401	-0.40113227379020505
CP000393.1	2095438	2097009	0.283112905139613
CP000393.1	4873124	4873363	-0.43129335652325707
CP000393.1	2690649	2691896	-0.40450255393894896
CP000393.1	2111837	2112118	-0.702070571055552
CP000393.1	5741481	5741562	-1.67636823138472
CP000393.1	6685688	6687259	0.5250559504570911
CP000393.1	6736987	6737511	0.40025328628015705
CP000393.1	1388873	1389853	-0.401490241867724
CP000393.1	5447888	5448973	0.490139017261183
CP000393.1	3440604	3442712	0.5616508753455439
CP000393.1	5745694	5746383	-0.30040487767623997
CP000393.1	7541454	7542095	-0.334036884817294
CP000393.1	5483039	5483656	-0.30527925775320097
CP000393.1	1633212	1634891	-0.362766750299738
CP000393.1	5404292	5404540	0.5868538448737459
CP000393.1	7367986	7369020	-0.322088055819453
CP000393.1	3364461	3364958	-0.29391659902444606
CP000393.1	7625591	7626445	-0.261225366343408
CP000393.1	1191896	1193557	0.23783367467414002
CP000393.1	4488288	4489316	0.360492221631618
CP000393.1	5487633	5488577	-0.3754691016836029
CP000393.1	6349315	6350373	-0.32776942770861606
CP000393.1	452825	455425	0.46371773292615004
CP000393.1	6624979	6625515	-0.320145781503616
CP000393.1	5143673	5144509	0.5566441078796689
CP000393.1	6801445	6802677	-0.40246372673682
CP000393.1	1132247	1132966	0.375747471614065
CP000393.1	306604	307140	0.28911493671266303
CP000393.1	6880579	6882291	0.26468762379863103
CP000393.1	932940	934169	0.346316988247064
CP000393.1	1082962	1086354	0.408942202081951
CP000393.1	1958159	1959787	-0.33702819364341197
CP000393.1	1549118	1549912	0.636070584579181
CP000393.1	1435656	1437428	-0.40170563267552
CP000393.1	4039935	4040987	-0.505940642815522
CP000393.1	3109509	3110204	-0.380336921266995
CP000393.1	6220564	6222150	0.282956983538814
CP000393.1	4506529	4507350	0.25522834825887697
CP000393.1	2830920	2831507	0.25703207692507896
CP000393.1	2212409	2220226	0.251283427486156
CP000393.1	5402579	5402920	0.426715778995221
CP000393.1	3437683	3438132	-0.38932403519752207
CP000393.1	3249986	3251362	0.511144478647663
CP000393.1	3139115	3141995	-0.6421507831111399
CP000393.1	3696966	3698120	-0.2835649611576189
CP000393.1	1802899	1803066	-0.406235184514324
CP000393.1	1443313	1444083	-0.34463584822506504
CP000393.1	3121122	3121727	0.8156957507819821
CP000393.1	5429727	5432135	0.337314348942573
CP000393.1	7491497	7492129	0.33674416628117704
CP000393.1	7540273	7540881	-0.41843151841728
CP000393.1	5751773	5752204	-0.570293851478829
CP000393.1	3615412	3616089	0.299042582074297
CP000393.1	7311742	7312917	-0.3569633373285279
CP000393.1	627137	627862	0.2835185033587
CP000393.1	3597440	3597628	-0.225956745555523
CP000393.1	4031581	4033479	-0.296207154591746
CP000393.1	2196696	2197466	0.40294267971438197
CP000393.1	1968385	1968987	-0.31263718033045695
CP000393.1	3597655	3597819	-0.32016747258527
CP000393.1	207806	208861	0.366372735391611
CP000393.1	1017941	1018180	-1.1423298807916
CP000393.1	124516	125490	-0.29051969637016306
CP000393.1	248855	249184	-0.319029059478643
CP000393.1	1326045	1326278	-0.481208252232704
CP000393.1	1674906	1676414	-0.513226444654195
CP000393.1	3267818	3268873	-0.414757714670085
CP000393.1	7437613	7439352	0.34755513457794107
CP000393.1	5542528	5543496	0.22120179365125803
CP000393.1	830515	831303	-0.517826351948327
CP000393.1	2690413	2690485	-1.12038954194227
CP000393.1	7490183	7490551	-0.33776640866135405
CP000393.1	3891979	3893157	-0.270251706273203
CP000393.1	6260362	6260709	0.5023003528808371
CP000393.1	4263638	4263880	-0.445143402820454
CP000393.1	4344185	4345183	-0.34421249358332695
CP000393.1	5034589	5035557	-0.388899353088028
CP000393.1	6720751	6721128	-0.493527026450371
CP000393.1	6882818	6883072	-0.506341580120805
CP000393.1	7682757	7682960	-0.272773222433325
CP000393.1	207239	207502	0.3691122066474529
CP000393.1	4941201	4942649	-0.510334432550022
CP000393.1	3816901	3817908	0.27922424770823495
CP000393.1	7056295	7056792	-0.27878176733990806
CP000393.1	3704477	3704986	-0.30460524291908897
CP000393.1	392348	392641	-0.587301245815574
CP000393.1	2944187	2950771	-0.43605088663038893
CP000393.1	548063	548857	0.561245960640991
CP000393.1	1115549	1116691	0.22915363803350103
CP000393.1	479268	480356	-0.28538156484151195
CP000393.1	1625440	1627242	0.22764670546916
CP000393.1	1399969	1400772	0.329774641955725
CP000393.1	3603600	3604016	0.490186671864704
CP000393.1	840599	841864	-0.342441752451111
CP000393.1	5732789	5733697	-0.29254881546816996
CP000393.1	3401988	3402638	-0.261262734012308
CP000393.1	4558180	4558416	-0.535195143100145
CP000393.1	2450017	2451279	0.241249542601083
CP000393.1	3974960	3975346	-0.25788670046903
