#chromosome	start	end	baseMean_HFe
CP000393.1	6396183	6398069	178.276181954708
CP000393.1	6385521	6388331	4631.890520941501
CP000393.1	2786301	2786687	66.0138516461061
CP000393.1	271328	272389	1689.48386629892
CP000393.1	5865822	5866112	10865.0161863443
CP000393.1	3608132	3609067	812.315846285409
CP000393.1	7273367	7274410	1029.09974852556
CP000393.1	2537397	2538692	98.5707182564209
CP000393.1	5792469	5793836	858.8472342787711
CP000393.1	5793963	5799539	1368.9656282295
CP000393.1	3217926	3219299	11098.622525488701
CP000393.1	4720723	4721199	133.784700872517
CP000393.1	6196641	6197117	3181.4115292625397
CP000393.1	727178	728614	148.010806799951
CP000393.1	6391312	6391662	1339.61836066919
CP000393.1	4673511	4674395	145.654663280102
CP000393.1	446241	447479	149.245775595424
CP000393.1	3035691	3036203	1235.1474543736301
CP000393.1	3955556	3956104	1640.7651363443802
CP000393.1	6258428	6259666	1936.8203231568302
CP000393.1	2473082	2473654	399.461330056456
CP000393.1	6718583	6719845	484.211528281018
CP000393.1	3487533	3487862	129.169653116392
CP000393.1	210882	211856	150.19611774771602
CP000393.1	258358	259317	118.829481052669
CP000393.1	5743982	5744932	820.6676758145239
CP000393.1	147658	148572	110.08056496152001
CP000393.1	4154773	4155258	6443.40958731282
CP000393.1	6117291	6117749	473.28706300227697
CP000393.1	6394208	6395023	65.2748780062968
CP000393.1	3248488	3248709	603.431466065199
CP000393.1	129597	129836	142.207566355538
CP000393.1	7413757	7414683	561.016734286379
CP000393.1	3599249	3599467	135457.218242975
CP000393.1	4759501	4759875	210.996641982052
CP000393.1	6416012	6417022	927.714724216115
CP000393.1	6234655	6236352	1585.04643494475
CP000393.1	5241202	5242893	672.0890131320269
CP000393.1	3490104	3490517	278.43245363433897
CP000393.1	146668	146931	4116.11530317727
CP000393.1	1066433	1066786	102.557108331743
CP000393.1	3457034	3458482	1453.4946591914402
CP000393.1	6305555	6305845	496.301763435343
CP000393.1	3326951	3327271	15.254908132332098
CP000393.1	7597822	7598313	164.78739983719402
CP000393.1	1531676	1533391	413.011240378225
CP000393.1	5476434	5477198	706.4795613384939
CP000393.1	6949035	6949877	4024.1100881263396
CP000393.1	4753670	4755760	1896.7692462492603
CP000393.1	289075	289680	827.596398389339
CP000393.1	131093	131992	259.377363085233
CP000393.1	2499307	2499843	496.893169592376
CP000393.1	6389619	6389930	8766.206597356271
CP000393.1	3489228	3489707	727.732569375805
CP000393.1	1880411	1881139	862.551609545273
CP000393.1	959820	960812	1590.4197167251098
CP000393.1	966890	968791	10025.167237294201
CP000393.1	4760789	4761421	546.96234246424
CP000393.1	2113589	2114314	1413.39353474272
CP000393.1	3556071	3556703	610.0672236181459
CP000393.1	3142781	3143446	580.276565784094
CP000393.1	659042	662110	455.457536386931
CP000393.1	304605	306062	4091.1587056922604
CP000393.1	4182225	4183586	339.466588474901
CP000393.1	5282994	5284496	63.0422315932771
CP000393.1	5963776	5964636	119.473664040268
CP000393.1	2447515	2447886	1652.6071693458402
CP000393.1	4761458	4762408	615.91204699965
CP000393.1	3015717	3016298	917.0364631075399
CP000393.1	6895590	6896672	650.997149874217
CP000393.1	756838	757155	2403.36875878894
CP000393.1	4752782	4753627	2510.48492533672
CP000393.1	209440	210882	321.02098898471
CP000393.1	5216566	5217576	66.0391539623915
CP000393.1	3975715	3976170	319.411521897218
CP000393.1	7066918	7068804	2408.09876280743
CP000393.1	461870	463597	1459.16074476104
CP000393.1	3914490	3914915	1740.98944700078
CP000393.1	4402324	4402839	908.238241812751
CP000393.1	4065176	4065517	228.37967234700199
CP000393.1	2677085	2678728	159.045281105702
CP000393.1	3605596	3605820	1039.5085056513499
CP000393.1	3456683	3456907	169.05057230079902
CP000393.1	4929944	4931611	39.4861485431984
CP000393.1	1180763	1180939	934.377658103159
CP000393.1	2546360	2547577	75.15473933997501
CP000393.1	7161688	7162569	355.533086287933
CP000393.1	6837740	6838732	160.41854749325398
CP000393.1	6303539	6304093	190.62512984474998
CP000393.1	7726233	7726496	144.005324076499
CP000393.1	4468062	4468880	416.402180335018
CP000393.1	3609064	3609378	281.47454802252497
CP000393.1	1447844	1448134	2078.91099401024
CP000393.1	6569656	6570324	77.1805030988527
CP000393.1	2115235	2116080	156.488397117442
CP000393.1	268161	269534	408.071948555526
CP000393.1	2650665	2652191	147.485911488039
CP000393.1	4752054	4752290	87.47774282392392
CP000393.1	4760034	4760792	737.07059970429
CP000393.1	6968568	6970028	268.510489255943
CP000393.1	6492220	6494697	602.654015458784
CP000393.1	4755891	4756787	991.441966420074
CP000393.1	1112418	1112711	189.154101811687
CP000393.1	5240690	5241010	333.73711327997796
CP000393.1	2841315	2842685	145.917883614809
CP000393.1	6041834	6042592	8348.62634396059
CP000393.1	362733	362966	279.513129402109
CP000393.1	751967	752341	1666.29098742436
CP000393.1	954378	954875	129.517371217048
CP000393.1	1907660	1907941	3721.31195973159
CP000393.1	2795958	2797253	1497.0959730791
CP000393.1	7616499	7616936	830.8475998689399
CP000393.1	3554368	3554751	504.899738404011
CP000393.1	1522901	1523875	1478.01381065595
CP000393.1	3700312	3701214	550.376686706044
CP000393.1	4890616	4891140	110.03533421183599
CP000393.1	7576289	7576849	2701.6592603373997
CP000393.1	1555350	1556627	1269.51451980037
CP000393.1	6219304	6219525	62.0347834575765
CP000393.1	5705712	5706707	36.704035814863296
CP000393.1	5826805	5828340	438.299676031445
CP000393.1	1128295	1129281	99.69222164727329
CP000393.1	6871127	6871543	71.7562990440759
CP000393.1	5699408	5700592	521.177291306196
CP000393.1	499291	499899	1805.7011311747
CP000393.1	1281381	1282022	83.7317258897195
CP000393.1	2465013	2465300	1418.02480212856
CP000393.1	4757984	4759504	890.078857798372
CP000393.1	7551993	7553351	834.866063547251
CP000393.1	752459	752929	4429.241234580661
CP000393.1	4756817	4757791	715.2162452912911
CP000393.1	6773251	6774537	2485.4899271255103
CP000393.1	3727114	3727506	729.722811912063
CP000393.1	6331607	6332476	15300.1491848326
CP000393.1	5940562	5942922	1069.01650234975
CP000393.1	330834	331637	722.254080116757
CP000393.1	3513238	3514542	270.895397961022
CP000393.1	945800	947590	2261.3906523391
CP000393.1	4068935	4069144	33.8408729402091
CP000393.1	3775803	3776918	343.758645845439
CP000393.1	2384111	2385001	154.553229828948
CP000393.1	7577442	7579460	933.398043646846
CP000393.1	1585964	1586881	478.652765930308
CP000393.1	4409176	4409979	741.981626969215
CP000393.1	5922960	5923469	3737.2531671751794
CP000393.1	4041422	4043224	1264.77218988099
CP000393.1	6605914	6606933	74.153030743602
CP000393.1	6775860	6776873	545.947914090893
CP000393.1	130201	130701	368.106172440063
CP000393.1	1635756	1636112	82.6640070756813
CP000393.1	221200	222018	353.18393598839896
CP000393.1	5800918	5801685	103.273563444441
CP000393.1	3119527	3120756	257.997327671456
CP000393.1	2876141	2876497	1394.23250312922
CP000393.1	7207628	7208401	126.456872012317
CP000393.1	4257314	4258822	499.414099212983
CP000393.1	553419	553976	264.935916485
CP000393.1	2877278	2877805	430.07271475136804
CP000393.1	1551310	1552242	680.876673871336
CP000393.1	5308927	5312454	545.183265987024
CP000393.1	1483210	1487364	531.5277627475141
CP000393.1	2343203	2347798	294.880980570957
CP000393.1	1247396	1248022	487.377058784942
CP000393.1	6551969	6552832	132.204484348398
CP000393.1	7275614	7276594	308.376666685712
CP000393.1	7196482	7196748	1958.3864488620002
CP000393.1	4205707	4206015	494.41952968908
CP000393.1	251672	251941	1513.9547894785599
CP000393.1	7334407	7335060	164.68774242088801
CP000393.1	4134327	4134872	124.974678317762
CP000393.1	638761	639687	127.21381083230499
CP000393.1	2834594	2835112	340.456817992619
CP000393.1	1130508	1131227	296.45964524624003
CP000393.1	4155526	4156023	430.16340044482496
CP000393.1	1131311	1132216	663.990594175189
CP000393.1	5855340	5856146	98.3238590137801
CP000393.1	3598479	3598706	69368.0833484673
CP000393.1	3391278	3392735	209.820241795749
CP000393.1	1317053	1317484	102.457831821192
CP000393.1	5860953	5861303	472.868737855726
CP000393.1	1579082	1580158	431.12916992286006
CP000393.1	3914905	3915333	2479.30870179678
CP000393.1	829610	830479	18.1529196473364
CP000393.1	217777	218829	175.790205446838
CP000393.1	3518190	3519542	217.452155603701
CP000393.1	789431	789865	1584.4726850778602
CP000393.1	3302074	3303507	55.339769470042
CP000393.1	796283	797596	266.349002749386
CP000393.1	6767366	6769438	306.534618472723
CP000393.1	1505693	1507246	99.46470098750031
CP000393.1	2875914	2876111	856.6644634520881
CP000393.1	3108044	3108772	397.92458997357596
CP000393.1	963524	966562	2371.4597836674698
CP000393.1	1581744	1581953	2628.86090848164
CP000393.1	2502022	2502573	1273.56382287469
CP000393.1	3207590	3209005	197.42079374552398
CP000393.1	6010625	6011098	2223.83352015302
CP000393.1	2281661	2283121	1483.5308943489902
CP000393.1	549606	550889	59.7935832174261
CP000393.1	3333233	3333715	191.54434740968998
CP000393.1	1519889	1521130	171.984163769035
CP000393.1	2829172	2830107	690.062315694726
CP000393.1	6626753	6630622	450.41081037545405
CP000393.1	2865789	2866631	523.887288621098
CP000393.1	3560276	3560788	1530.0139566468201
CP000393.1	1635210	1635488	24.350930732958002
CP000393.1	7317742	7319271	364.28247250791003
CP000393.1	5459828	5462536	6466.6879126172
CP000393.1	6057143	6057424	2226.56312145953
CP000393.1	3916659	3917072	39.5165788076325
CP000393.1	6872163	6873455	112.47741638274799
CP000393.1	7624222	7625325	342.26021078052
CP000393.1	6113981	6115432	670.825196419584
CP000393.1	1284063	1284626	666.906884287535
CP000393.1	7160786	7161196	1186.7188602062802
CP000393.1	7684705	7685292	339.551952524748
CP000393.1	27	1397	395.63141169816595
CP000393.1	2607210	2608274	9892.887147073321
CP000393.1	2981514	2983919	403.308937161557
CP000393.1	2111352	2111582	6.85297882895812
CP000393.1	1195939	1197330	535.8738136396411
CP000393.1	1264286	1265392	69.0995117047725
CP000393.1	1580492	1581229	624.789481412909
CP000393.1	5091101	5092510	106.342250819863
CP000393.1	5716920	5717138	1883.6867291070898
CP000393.1	2359259	2359612	402.64266879187795
CP000393.1	6291504	6293252	98.7901704672061
CP000393.1	7163889	7166000	1812.2562652288602
CP000393.1	2798463	2799458	185.515168652968
CP000393.1	3893600	3894544	501.33713884168
CP000393.1	5189811	5191265	19731.3011113264
CP000393.1	436168	437337	2355.9740837315
CP000393.1	5615206	5616423	5201.44397219028
CP000393.1	720211	720456	11694.4605780086
CP000393.1	5413207	5414829	156.309652808037
CP000393.1	4800164	4800823	384.49701230072304
CP000393.1	5992847	5994253	373.128471170966
CP000393.1	3647884	3649884	2150.96159448891
CP000393.1	6795230	6797050	275.07164576796396
CP000393.1	440975	442579	679.350048222404
CP000393.1	3915682	3916635	868.7471372700489
CP000393.1	5345978	5346340	29.049133350972
CP000393.1	1957008	1957391	15.262976581320002
CP000393.1	3519633	3520676	182.505289330122
CP000393.1	4322987	4323466	171.723496538078
CP000393.1	5104602	5105507	179.60632230814602
CP000393.1	6434528	6435391	457.72362980562895
CP000393.1	3162986	3165187	224.048139015423
CP000393.1	7381867	7383324	318.100600404945
CP000393.1	4472264	4472923	1603.06988953332
CP000393.1	3414061	3414966	302.946424917592
CP000393.1	5040182	5040490	3113.98362936607
CP000393.1	2017345	2018265	55.9023124607918
CP000393.1	988174	989139	636.102142002095
CP000393.1	3844799	3848818	29.792995495525698
CP000393.1	1205759	1206085	103.76872281483601
CP000393.1	1232220	1233944	458.15768271241797
CP000393.1	2169563	2169763	2193.61713452426
CP000393.1	797861	798013	68.7994947258109
CP000393.1	7612359	7612811	59.8227967908362
CP000393.1	1567748	1568413	475.43899669343597
CP000393.1	2006188	2006691	969.0796741352609
CP000393.1	2984383	2985750	335.617853901849
CP000393.1	3728329	3731952	35.7398704249411
CP000393.1	7548844	7549995	804.353663686375
CP000393.1	1194175	1195599	635.405861257533
CP000393.1	2742065	2743078	1358.0546750378699
CP000393.1	6940571	6944248	341.26108351988
CP000393.1	3604202	3605137	4699.85870967811
CP000393.1	4186226	4186903	86.7401425868037
CP000393.1	6921042	6922430	920.221086259594
CP000393.1	3616506	3617300	3225.7569794676397
CP000393.1	2104828	2106021	83.79984082295499
CP000393.1	4303655	4305139	205.336117505633
CP000393.1	5116118	5118019	74.99493096703391
CP000393.1	755363	756592	12154.3223420219
CP000393.1	5391012	5394998	146.261324801899
CP000393.1	3279184	3279256	80.16003488900441
CP000393.1	4473756	4474022	721.99532390591
CP000393.1	5196897	5198582	1465.20808887857
CP000393.1	6420124	6421143	470.32494579221606
CP000393.1	5094327	5095154	215.748285261088
CP000393.1	277765	279303	435.571280397499
CP000393.1	551971	553365	44.1587876608743
CP000393.1	1173852	1174931	175.24799353589
CP000393.1	48918	49433	837.715821079993
CP000393.1	5082229	5083074	1004.75896695604
CP000393.1	6682093	6682311	160.006997864261
CP000393.1	969256	972612	695.1206992310049
CP000393.1	2471985	2472380	158.956282232097
CP000393.1	4534599	4535207	51.7724968452429
CP000393.1	2472625	2472906	304.345515989535
CP000393.1	3638104	3639891	420.447049796437
CP000393.1	1416502	1418502	126.31455869072599
CP000393.1	7163040	7163369	24.934984504570604
CP000393.1	2718049	2719035	633.936467805045
CP000393.1	263727	264146	45.24900975270929
CP000393.1	2966800	2970414	217.364985012299
CP000393.1	510841	512151	218.71453143103
CP000393.1	98280	99698	520.266925742403
CP000393.1	3280098	3280170	32.2455794974733
CP000393.1	1102446	1102814	1275.52335222181
CP000393.1	7432472	7432852	26.8206441298154
CP000393.1	6013774	6014322	573.428767142562
CP000393.1	3600515	3601087	9122.629213603159
CP000393.1	3246669	3247730	223.01723209495398
CP000393.1	3901498	3903078	2894.66525067638
CP000393.1	5854217	5855305	178.38354216356097
CP000393.1	2955814	2955895	145.70170057133998
CP000393.1	7277652	7278023	136.113108694032
CP000393.1	7107744	7112276	257.14415731414397
CP000393.1	5632783	5633388	68.5521501050273
CP000393.1	824434	825072	162.99524019320899
CP000393.1	2338371	2339288	383.080730842779
CP000393.1	2845482	2845925	95.58993278528229
CP000393.1	1070417	1073758	641.8296821757799
CP000393.1	2987968	2989605	980.6724275008639
CP000393.1	4270484	4270948	38.9232398960081
CP000393.1	3446592	3447344	40.275099975085
CP000393.1	3695481	3696530	217.10590012880698
CP000393.1	6774620	6774793	453.89913107817
CP000393.1	1904238	1905296	31035.8907963923
CP000393.1	7723408	7723977	883.1864747216521
CP000393.1	2685686	2687011	442.030093685094
CP000393.1	5386630	5387172	142.012319491716
CP000393.1	3331996	3332943	61.6101724024644
CP000393.1	264281	265960	326.24993092635
CP000393.1	5858754	5860268	95.41313647978208
CP000393.1	1103208	1103762	935.7345046680341
CP000393.1	6836852	6837598	125.40687244371901
CP000393.1	3203402	3204736	247.168356125824
CP000393.1	1879465	1879581	1512.30144754044
CP000393.1	1412737	1413084	2549.44844905566
CP000393.1	2959029	2959595	577.795976147946
CP000393.1	1322985	1323788	45.821830380404904
CP000393.1	4248054	4249226	488.280431128421
CP000393.1	6851335	6852024	128.168795554603
CP000393.1	4909005	4910381	172.36660429700402
CP000393.1	2682530	2684572	475.598550373658
CP000393.1	5033087	5034139	399.806943441542
CP000393.1	254069	255130	777.7619963507609
CP000393.1	1449238	1449534	2908.68560368427
CP000393.1	1563071	1563907	5944.12773072188
CP000393.1	6621694	6623022	183.10341227410302
CP000393.1	3496049	3496810	110.260541211263
CP000393.1	4420915	4422678	1406.9059932536902
CP000393.1	2778826	2781759	42.59554382
CP000393.1	6021628	6023127	1000.0029792748401
CP000393.1	2672948	2674414	136.682607915133
CP000393.1	1672964	1674496	200.379180411254
CP000393.1	6336267	6337910	2917.09379911976
CP000393.1	1494752	1495789	8246.65756407204
CP000393.1	6472531	6473115	138.213943616497
CP000393.1	4786133	4787272	1275.93987957862
CP000393.1	823262	823753	169.526937197081
CP000393.1	3366643	3367347	781.014793166662
CP000393.1	3971608	3972288	144.209997542683
CP000393.1	6757422	6758327	192.75865645888402
CP000393.1	3711108	3711713	90.03977650098041
CP000393.1	812023	812805	30.361502219692998
CP000393.1	5587676	5589340	1562.0762907210599
CP000393.1	1496538	1497833	1796.52976748696
CP000393.1	4597745	4598206	2511.88039456758
CP000393.1	6808958	6811726	660.500347203048
CP000393.1	7376027	7376965	992.270467792928
CP000393.1	4520570	4521883	122.670147176732
CP000393.1	7640499	7641593	14.0848525852019
CP000393.1	4587126	4587812	6.939664042217231
CP000393.1	7683659	7684198	815.440198765292
CP000393.1	7206064	7206546	74.96081363956509
CP000393.1	6398909	6399841	141.303671643953
CP000393.1	1971541	1972422	333.695658816402
CP000393.1	3416005	3416469	994.519312095014
CP000393.1	6836138	6836815	46.115622441896
CP000393.1	3493145	3494536	244.260349898575
CP000393.1	6886447	6888165	10015.1706182886
CP000393.1	5704608	5705693	35.2042273472557
CP000393.1	7043863	7044303	35.8311982082062
CP000393.1	312998	314122	417.548067525147
CP000393.1	3501150	3501677	168.099274641536
CP000393.1	7544234	7545034	44.3512354862074
CP000393.1	1871194	1871847	30.1255474544915
CP000393.1	6614227	6614808	22.4519332482259
CP000393.1	1103770	1104519	605.6883330806639
CP000393.1	2886804	2887118	301.008793748421
CP000393.1	5520725	5521060	22.0174102126086
CP000393.1	2373080	2373454	76.7943907571625
CP000393.1	1538888	1539967	23.075843886635
CP000393.1	4205399	4205656	417.423018569483
CP000393.1	4699866	4700720	52.5683000350933
CP000393.1	6338712	6339935	619.912340783862
CP000393.1	2447955	2448371	1626.2024409816502
CP000393.1	5828485	5829816	489.190916413917
CP000393.1	753026	755101	7680.872699176859
CP000393.1	3451853	3452887	398.944346481867
CP000393.1	1663280	1664551	93.3015385422287
CP000393.1	5209882	5210124	1224.04477365109
CP000393.1	509153	510514	458.981848441095
CP000393.1	5906307	5916920	716.13737809486
CP000393.1	2116190	2117215	238.222998220478
CP000393.1	3151814	3152590	1218.90507652396
CP000393.1	628071	628838	326.401910293708
CP000393.1	2972571	2974394	331.80106445827204
CP000393.1	6101870	6102787	70.3177537517399
CP000393.1	6761182	6762732	3816.5296014486
CP000393.1	654900	656402	733.093292315539
CP000393.1	588749	591631	161.43136951184098
CP000393.1	5276368	5277183	89.48398079580679
CP000393.1	6704735	6705010	485.174947108744
CP000393.1	6788229	6788843	124.30430498933
CP000393.1	2825713	2826447	110.76022342996299
CP000393.1	2817492	2818064	435.015066796608
CP000393.1	2238830	2239441	165.145008177707
CP000393.1	94221	94430	4334.480238289811
CP000393.1	6936648	6940316	714.7805467792999
CP000393.1	2666047	2668119	1312.6460875914802
CP000393.1	3187425	3189575	76.0203442829132
CP000393.1	759506	760396	1681.60093154784
CP000393.1	6735476	6736471	165.73977272513
CP000393.1	361712	362587	911.978710636442
CP000393.1	1407784	1407951	328.941096777175
CP000393.1	1938100	1939044	443.04364701656306
CP000393.1	4184503	4186056	4011.8492468421705
CP000393.1	5639476	5640261	27.0848569614559
CP000393.1	5092619	5093524	130.459033329174
CP000393.1	5452205	5453191	1468.8755412939402
CP000393.1	5962350	5962739	197.106446410141
CP000393.1	2154982	2155371	11.1983353981674
CP000393.1	7409629	7411290	1940.49036791406
CP000393.1	2653741	2654655	28.1628534124399
CP000393.1	2794891	2795340	853.702848833692
CP000393.1	6196364	6196486	2495.63415573585
CP000393.1	7422646	7422951	9.57504507304561
CP000393.1	1934396	1935022	292.48621212465
CP000393.1	7371340	7372212	1682.10383945256
CP000393.1	1213485	1213853	299.16714169050204
CP000393.1	2604670	2605401	59.053512608295
CP000393.1	2095438	2097009	353.79476995137395
CP000393.1	4873124	4873363	409.674213477928
CP000393.1	2690649	2691896	389.750749439858
CP000393.1	2111837	2112118	11.1669126367994
CP000393.1	5741481	5741562	474.63219103275804
CP000393.1	6685688	6687259	529.640723228246
CP000393.1	6736987	6737511	89.3542740208222
CP000393.1	1388873	1389853	587.635046848506
CP000393.1	5447888	5448973	2844.4805991617104
CP000393.1	3440604	3442712	5462.76062700293
CP000393.1	5745694	5746383	222.885039698644
CP000393.1	7541454	7542095	93.4407916412781
CP000393.1	5483039	5483656	175.27035535133598
CP000393.1	1633212	1634891	287.487596372605
CP000393.1	5404292	5404540	2412.3072954472896
CP000393.1	7367986	7369020	89.8632413795331
CP000393.1	3364461	3364958	160.090638104294
CP000393.1	7625591	7626445	338.20889220754
CP000393.1	1191896	1193557	881.7130220583549
CP000393.1	4488288	4489316	153.628414187032
CP000393.1	5487633	5488577	143.01253496369802
CP000393.1	6349315	6350373	105.603031245315
CP000393.1	452825	455425	1462.5971831429001
CP000393.1	6624979	6625515	130.848571549846
CP000393.1	5143673	5144509	1958.40629259328
CP000393.1	6801445	6802677	282.009257333888
CP000393.1	1132247	1132966	317.747523670716
CP000393.1	306604	307140	716.466334486678
CP000393.1	6880579	6882291	389.31541235962004
CP000393.1	932940	934169	1173.3641879780198
CP000393.1	1082962	1086354	143.934148920723
CP000393.1	1958159	1959787	724.926952120925
CP000393.1	1549118	1549912	6972.1222211800405
CP000393.1	1435656	1437428	62.8731380803242
CP000393.1	4039935	4040987	151.238033618012
CP000393.1	3109509	3110204	741.562328805899
CP000393.1	6220564	6222150	1509.8103648065699
CP000393.1	4506529	4507350	453.679485165757
CP000393.1	2830920	2831507	225.30731315786
CP000393.1	2212409	2220226	348.566193666174
CP000393.1	5402579	5402920	640.2496703717501
CP000393.1	3437683	3438132	60.67570596409511
CP000393.1	3249986	3251362	311.44938503996
CP000393.1	3139115	3141995	401.34499819033203
CP000393.1	3696966	3698120	118.797326978419
CP000393.1	1802899	1803066	69.6026350517681
CP000393.1	1443313	1444083	346.50660425634203
CP000393.1	3121122	3121727	16.357475586720298
CP000393.1	5429727	5432135	520.2195815191681
CP000393.1	7491497	7492129	1447.1292959063098
CP000393.1	7540273	7540881	54.509117639841605
CP000393.1	5751773	5752204	23.3795479286313
CP000393.1	3615412	3616089	462.208254723202
CP000393.1	7311742	7312917	1210.8795347859
CP000393.1	627137	627862	395.85991836353895
CP000393.1	3597440	3597628	1226.9767240474198
CP000393.1	4031581	4033479	282.48801862225497
CP000393.1	2196696	2197466	75.9620368577953
CP000393.1	1968385	1968987	335.23360034099096
CP000393.1	3597655	3597819	663.410190476648
CP000393.1	207806	208861	1195.0113375679
CP000393.1	1017941	1018180	118.908082567625
CP000393.1	124516	125490	587.2894639558821
CP000393.1	248855	249184	209.728406893693
CP000393.1	1326045	1326278	245.130836854924
CP000393.1	1674906	1676414	202.717463223311
CP000393.1	3267818	3268873	183.35708628474399
CP000393.1	7437613	7439352	209.76706881011398
CP000393.1	5542528	5543496	1186.84866918084
CP000393.1	830515	831303	18.154501994801
CP000393.1	2690413	2690485	333.181056384584
CP000393.1	7490183	7490551	419.756121194115
CP000393.1	3891979	3893157	710.013260738411
CP000393.1	6260362	6260709	100.69735612262801
CP000393.1	4263638	4263880	101.19523179977301
CP000393.1	4344185	4345183	364.52945796358705
CP000393.1	5034589	5035557	77.76222796080499
CP000393.1	6720751	6721128	37.219750459150504
CP000393.1	6882818	6883072	21.9107965659512
CP000393.1	7682757	7682960	746.361518761611
CP000393.1	207239	207502	1360.7339526723
CP000393.1	4941201	4942649	35.2570564170989
CP000393.1	3816901	3817908	299.619420961522
CP000393.1	7056295	7056792	127.26822224961201
CP000393.1	3704477	3704986	373.126179251269
CP000393.1	392348	392641	17.0994941997565
CP000393.1	2944187	2950771	1205.56545720702
CP000393.1	548063	548857	49.552076073074204
CP000393.1	1115549	1116691	1444.7253052752899
CP000393.1	479268	480356	282.360118388825
CP000393.1	1625440	1627242	1059.88796424929
CP000393.1	1399969	1400772	239.63951036384603
CP000393.1	3603600	3604016	3582.5769428249
CP000393.1	840599	841864	105.124374429336
CP000393.1	5732789	5733697	1034.1419299480901
CP000393.1	3401988	3402638	380.789844487066
CP000393.1	4558180	4558416	16.5116488927215
CP000393.1	2450017	2451279	626.762117927928
CP000393.1	3974960	3975346	4437.988206886429
CP000393.1	40836	41411	25.7292053469565
CP000393.1	6271110	6273488	328.318648764529
CP000393.1	6286709	6288205	575.676094319129
CP000393.1	5805541	5806308	932.045846149478
CP000393.1	6787978	6788220	82.8184415657353
CP000393.1	1030632	1030886	338.37638163238
CP000393.1	3148004	3148585	628.764041996282
CP000393.1	556288	561606	671.718476069765
CP000393.1	6332733	6333494	11436.671915846398
CP000393.1	1764326	1765177	244.09078625679402
CP000393.1	4404604	4405752	267.357563103722
CP000393.1	4699161	4699859	45.0867679977203
CP000393.1	5247102	5249225	539.952606726902
CP000393.1	7206543	7207583	143.552350482561
CP000393.1	1009357	1010580	1113.82733024196
CP000393.1	6157059	6157784	482.50139603097097
CP000393.1	3132658	3133047	317.668338796563
CP000393.1	6811774	6814512	24.815032998426
CP000393.1	1020821	1027000	343.43260172864495
CP000393.1	5018841	5019143	3664.22067102418
CP000393.1	5463130	5463906	288.66975134755
CP000393.1	3328892	3330991	190.735937673233
CP000393.1	3507804	3511928	305.797383892043
CP000393.1	4394349	4396478	62.6173593541122
CP000393.1	480768	481508	127.05315142478001
CP000393.1	6278855	6279109	19.662744567837
CP000393.1	1073905	1074138	22.819699503982395
CP000393.1	7542265	7542885	228.59166120864498
CP000393.1	6440262	6440552	383.530010882349
CP000393.1	3663405	3664739	102.074779702043
CP000393.1	4262970	4263311	257.443360248485
CP000393.1	3052338	3052799	90.915674330179
CP000393.1	6867812	6868915	65.9809510096613
