""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"LFe_d5_rep3_RAW"	"LFe_d7_rep1_RAW"	"LFe_d7_rep2_RAW"	"LFe_d7_rep3_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"MFe_d5_rep3_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"LFe_d5_rep3_CPM"	"LFe_d7_rep1_CPM"	"LFe_d7_rep2_CPM"	"LFe_d7_rep3_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"MFe_d5_rep3_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"LFe_d5_rep3_logCPM"	"LFe_d7_rep1_logCPM"	"LFe_d7_rep2_logCPM"	"LFe_d7_rep3_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"MFe_d5_rep3_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_1663"	655.19871849964	1120.24693224395	6.46222391726205	373.838785593403	-7.41563396680894	0.440430928756014	-16.8372234614726	1.30204171994127e-63	4.36183976180325e-61	4	9	8	460	963	1061	1601	2058	1064	664	379	146	"     1.11"	"     1.41"	"     1.49"	"   154.13"	"   164.24"	"   195.57"	"   304.94"	"   295.96"	"   277.90"	"   120.89"	"    69.70"	"    41.66"	" 1.08"	" 1.27"	" 1.31"	" 7.28"	" 7.37"	" 7.62"	" 8.26"	" 8.21"	" 8.12"	" 6.93"	" 6.14"	" 5.41"	"Tery_1663"	"gene1673"	"CDS"	2529480	2530019	"-"	"CP000393.1"	"putative transcriptional regulator%2C Crp/Fnr family"	"PFAM: regulatory protein%2C Crp~KEGG: ana:all4500 transcriptional regulator"	"InterPro:IPR001808,InterPro:IPR012318,NCBI_GP:ABG50934.1"
"Tery_1686"	344.609874833244	580.957135589603	25.0665348110727	191.458693342698	-4.5480224699751	0.297084666066468	-15.3088428635275	6.67407553931898e-53	2.06382951292787e-50	22	33	23	371	558	635	664	889	502	345	192	73	"     6.10"	"     5.16"	"     4.27"	"   124.31"	"    95.17"	"   117.05"	"   126.47"	"   127.84"	"   131.11"	"    62.81"	"    35.31"	"    20.83"	" 2.83"	" 2.62"	" 2.40"	" 6.97"	" 6.59"	" 6.88"	" 6.99"	" 7.01"	" 7.05"	" 6.00"	" 5.18"	" 4.45"	"Tery_1686"	"gene1696"	"CDS"	2568704	2569144	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr1356 hypothetical protein"	"NCBI_GP:ABG50957.1"
"Tery_3032"	2827.82807825733	3842.16660321387	953.633959255672	2673.34514734592	-2.01025379541199	0.1395833559082	-14.4018159065761	5.04016325134298e-47	1.44724687645705e-44	693	1366	996	2118	4577	3673	4572	6831	2889	3243	3165	1703	"   192.01"	"   213.74"	"   185.09"	"   709.67"	"   780.62"	"   677.02"	"   870.81"	"   982.35"	"   754.55"	"   590.42"	"   582.02"	"   485.95"	" 7.59"	" 7.75"	" 7.54"	" 9.47"	" 9.61"	" 9.41"	" 9.77"	" 9.94"	" 9.56"	" 9.21"	" 9.19"	" 8.93"	"Tery_3032"	"gene3058"	"CDS"	4682776	4683933	"+"	"CP000393.1"	"Cupin 4"	"PFAM: Cupin 4~KEGG: syf:Synpcc7942_0373 hypothetical protein"	"InterPro:IPR006162,InterPro:IPR007113,InterPro:IPR013109,NCBI_GP:ABG52183.1"
"Tery_3404"	521.697994491842	772.724654094764	98.5364594666014	442.806210311239	-2.97082930271386	0.212329220981222	-13.9916177763238	1.75376658721246e-44	4.70009445372939e-42	69	110	133	442	685	864	960	1166	711	668	442	252	"    19.12"	"    17.21"	"    24.72"	"   148.10"	"   116.83"	"   159.26"	"   182.85"	"   167.68"	"   185.70"	"   121.62"	"    81.28"	"    71.91"	" 4.33"	" 4.19"	" 4.68"	" 7.22"	" 6.88"	" 7.32"	" 7.52"	" 7.40"	" 7.54"	" 6.94"	" 6.36"	" 6.19"	"Tery_3404"	"gene3433"	"CDS"	5213167	5213691	"-"	"CP000393.1"	"ferric uptake regulator%2C Fur family"	"PFAM: ferric-uptake regulator~KEGG: syn:sll0567 ferric uptake regulation protein"	"InterPro:IPR002481,NCBI_GP:ABG52505.1"
"Tery_1885"	1573.43742394816	152.226629324794	5662.12294272559	327.173494417447	5.21897859420123	0.38107005612211	13.6955882792556	1.07883043995122e-42	2.71056148037744e-40	6450	5001	5059	99	195	149	99	216	173	132	336	408	"  1787.15"	"   782.52"	"   940.11"	"    33.17"	"    33.26"	"    27.46"	"    18.86"	"    31.06"	"    45.18"	"    24.03"	"    61.79"	"   116.42"	"10.80"	" 9.61"	" 9.88"	" 5.09"	" 5.10"	" 4.83"	" 4.31"	" 5.00"	" 5.53"	" 4.65"	" 5.97"	" 6.88"	"Tery_1885"	"gene1896"	"CDS"	2883011	2883310	"+"	"CP000393.1"	"4Fe-4S ferredoxin%2C iron-sulfur binding"	"PFAM: 4Fe-4S ferredoxin%2C iron-sulfur binding~KEGG: ava:Ava_0445 4Fe-4S ferredoxin%2C iron-sulfur binding"	"InterPro:IPR001450,NCBI_GP:ABG51141.1"
"Tery_3222"	534.78313759464	644.537094335918	229.738540895708	620.319820811015	-1.48721338933062	0.128511333701366	-11.5726243475661	5.67207335616979e-31	1.34127852304721e-28	179	341	212	440	786	737	704	916	451	694	758	417	"    49.60"	"    53.36"	"    39.40"	"   147.43"	"   134.05"	"   135.85"	"   134.09"	"   131.73"	"   117.79"	"   126.35"	"   139.39"	"   118.99"	" 5.66"	" 5.76"	" 5.34"	" 7.21"	" 7.08"	" 7.10"	" 7.08"	" 7.05"	" 6.89"	" 6.99"	" 7.13"	" 6.91"	"Tery_3222"	"gene3250"	"CDS"	4928195	4929331	"-"	"CP000393.1"	"ABC transporter related"	"PFAM: ABC transporter related Transport-associated OB~SMART: ATPase~KEGG: syn:sll1878 ABC-type iron transport system ATP-binding protein"	"InterPro:IPR001687,InterPro:IPR003439,InterPro:IPR003593,InterPro:IPR013611,NCBI_GP:ABG52340.1"
"Tery_1662"	122.570078398091	199.366739252448	18.9962824965307	72.5505525909369	-3.41750560971871	0.309276218692282	-11.050010971322	2.19188093694803e-28	4.89520075918394e-26	17	19	22	147	193	213	272	272	136	121	85	26	"     4.71"	"     2.97"	"     4.09"	"    49.25"	"    32.92"	"    39.26"	"    51.81"	"    39.12"	"    35.52"	"    22.03"	"    15.63"	"     7.42"	" 2.51"	" 1.99"	" 2.35"	" 5.65"	" 5.08"	" 5.33"	" 5.72"	" 5.33"	" 5.19"	" 4.53"	" 4.06"	" 3.07"	"Tery_1662"	"gene1672"	"CDS"	2528196	2528942	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_1216 hypothetical protein"	"NCBI_GP:ABG50933.1"
"Tery_3033"	2853.99274732039	3832.27811607866	994.510749509903	2756.90400761434	-1.9475001406346	0.181325022741111	-10.7403827182482	6.5771165604217e-27	1.39157939857343e-24	844	1204	1044	2280	5004	3580	4414	6801	2552	3241	3830	1461	"   233.85"	"   188.39"	"   194.01"	"   763.95"	"   853.44"	"   659.88"	"   840.71"	"   978.03"	"   666.53"	"   590.05"	"   704.31"	"   416.90"	" 7.88"	" 7.57"	" 7.61"	" 9.58"	" 9.74"	" 9.37"	" 9.72"	" 9.94"	" 9.38"	" 9.21"	" 9.46"	" 8.71"	"Tery_3033"	"gene3059"	"CDS"	4684202	4685209	"+"	"CP000393.1"	"Sucraseferredoxin-like"	"PFAM: Sucraseferredoxin-like~KEGG: ana:all1981 hypothetical protein"	"InterPro:IPR009737,NCBI_GP:ABG52184.1"
"Tery_3818"	2141.66548626131	3191.35795486059	553.341267796783	1630.60476752729	-2.52815119789884	0.248805797591006	-10.1611426356499	2.95591672286158e-24	5.94139261295178e-22	437	801	519	2047	3519	3658	3698	5185	2128	2532	2128	564	"   121.08"	"   125.34"	"    96.45"	"   685.88"	"   600.17"	"   674.26"	"   704.34"	"   745.64"	"   555.79"	"   460.97"	"   391.32"	"   160.94"	" 6.93"	" 6.98"	" 6.61"	" 9.42"	" 9.23"	" 9.40"	" 9.46"	" 9.54"	" 9.12"	" 8.85"	" 8.62"	" 7.34"	"Tery_3818"	"gene3855"	"CDS"	5868027	5869220	"+"	"CP000393.1"	"glycosyl transferase%2C group 1"	"PFAM: glycosyl transferase%2C group 1~KEGG: bha:BH2305 lipopolysaccharide N-acetylglucosaminyltransferase"	"InterPro:IPR001296,NCBI_GP:ABG52862.1"
"Tery_0830"	510.618838178036	684.936009693839	149.949780873181	522.653552451286	-2.18626690035808	0.220445047740516	-9.91751424115237	3.49348010030488e-23	6.68751904915505e-21	95	239	157	436	993	683	741	1158	391	582	777	265	"    26.32"	"    37.40"	"    29.18"	"   146.09"	"   169.36"	"   125.89"	"   141.13"	"   166.53"	"   102.12"	"   105.96"	"   142.88"	"    75.62"	" 4.77"	" 5.26"	" 4.92"	" 7.20"	" 7.41"	" 6.99"	" 7.15"	" 7.39"	" 6.69"	" 6.74"	" 7.17"	" 6.26"	"Tery_0830"	"gene836"	"CDS"	1318026	1318814	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:all3941 unknown protein"	"NCBI_GP:ABG50244.1"
"Tery_3062"	38.8530769744051	8.67351372405756	115.93611210767	22.1291683418353	3.77237045034406	0.38754973643103	9.73390018293923	2.16143079452982e-22	3.94952354273176e-20	114	116	119	7	9	10	8	10	8	7	24	28	"    31.59"	"    18.15"	"    22.11"	"     2.35"	"     1.53"	"     1.84"	"     1.52"	"     1.44"	"     2.09"	"     1.27"	"     4.41"	"     7.99"	" 5.03"	" 4.26"	" 4.53"	" 1.74"	" 1.34"	" 1.51"	" 1.34"	" 1.29"	" 1.63"	" 1.19"	" 2.44"	" 3.17"	"Tery_3062"	"gene3088"	"CDS"	4721367	4721714	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: syf:Synpcc7942_2401 molecular chaperon"	"NCBI_GP:ABG52206.1"
"Tery_3817"	3431.15254957645	5195.59230953608	743.568901941761	2589.85667729187	-2.80480164515914	0.288711804956721	-9.71488382880496	2.6054596102192e-22	4.55389027525269e-20	604	1153	608	4055	5529	4427	6136	9022	3345	3559	3908	851	"   167.35"	"   180.41"	"   112.98"	"  1358.70"	"   942.98"	"   816.00"	"  1168.70"	"  1297.43"	"   873.65"	"   647.95"	"   718.65"	"   242.83"	" 7.40"	" 7.50"	" 6.83"	"10.41"	" 9.88"	" 9.67"	"10.19"	"10.34"	" 9.77"	" 9.34"	" 9.49"	" 7.93"	"Tery_3817"	"gene3854"	"CDS"	5867650	5867856	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG52861.1"
"Tery_3820"	6138.55254689371	9530.1660360494	1442.42226499817	4051.45585047788	-2.72449369127169	0.280810854380352	-9.70223781870421	2.94957159379775e-22	4.94053241961124e-20	1356	1832	1246	7173	9630	9994	11685	14458	6329	6666	5055	1313	"   375.72"	"   286.66"	"   231.54"	"  2403.44"	"  1642.42"	"  1842.14"	"  2225.59"	"  2079.17"	"  1653.01"	"  1213.60"	"   929.58"	"   374.67"	" 8.56"	" 8.17"	" 7.86"	"11.23"	"10.68"	"10.85"	"11.12"	"11.02"	"10.69"	"10.25"	" 9.86"	" 8.55"	"Tery_3820"	"gene3857"	"CDS"	5876968	5881329	"+"	"CP000393.1"	"AMP-dependent synthetase and ligase"	"PFAM: AMP-dependent synthetase and ligase condensation domain  phosphopantetheine-binding~KEGG: mlo:mll6983 similar to coenzyme a synthetase"	"InterPro:IPR000873,InterPro:IPR001242,InterPro:IPR002086,InterPro:IPR006163,NCBI_GP:ABG52864.1"
"Tery_3826"	18482.5148396853	27821.030654458	5509.88529260205	12778.112757223	-2.33614392153801	0.24293577432761	-9.61630261333024	6.82400669225016e-22	1.09730027611383e-19	4638	7396	5230	20261	28147	26733	35841	40171	20923	17397	18635	4713	"  1285.08"	"  1157.28"	"   971.89"	"  6788.80"	"  4800.53"	"  4927.55"	"  6826.47"	"  5776.89"	"  5464.67"	"  3167.27"	"  3426.83"	"  1344.86"	"10.33"	"10.18"	" 9.93"	"12.73"	"12.23"	"12.27"	"12.74"	"12.50"	"12.42"	"11.63"	"11.74"	"10.39"	"Tery_3826"	"gene3863"	"CDS"	5897089	5899005	"+"	"CP000393.1"	"Dimethylaniline monooxygenase (N-oxide forming)"	"PFAM: flavin-containing monooxygenase FMO~KEGG: cfa:478994 similar to flavin containing monooxygenase 5"	"InterPro:IPR000103,InterPro:IPR000960,InterPro:IPR001100,InterPro:IPR013027,NCBI_GP:ABG52870.1"
"Tery_1886"	121.508002397777	27.944578722077	385.409436832143	44.7334153148103	3.77176744877407	0.393055312972571	9.59602204648811	8.3089475659304e-22	1.28469112365539e-19	406	398	345	9	22	29	39	53	29	38	18	61	"   112.49"	"    62.28"	"    64.11"	"     3.02"	"     3.75"	"     5.35"	"     7.43"	"     7.62"	"     7.57"	"     6.92"	"     3.31"	"    17.41"	" 6.83"	" 5.98"	" 6.02"	" 2.01"	" 2.25"	" 2.67"	" 3.08"	" 3.11"	" 3.10"	" 2.99"	" 2.11"	" 4.20"	"Tery_1886"	"gene1897"	"CDS"	2883903	2884400	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: ava:Ava_4384 hypothetical protein"	"NCBI_GP:ABG51142.1"
"Tery_3034"	658.875630614663	929.616150876581	198.654038731182	577.616181974309	-2.22242006511033	0.233570657373432	-9.51497970722037	1.81748363471849e-21	2.70603118946975e-19	115	255	276	475	952	1249	1130	1177	839	772	398	505	"    31.86"	"    39.90"	"    51.29"	"   159.16"	"   162.37"	"   230.22"	"   215.23"	"   169.26"	"   219.13"	"   140.55"	"    73.19"	"   144.10"	" 5.04"	" 5.35"	" 5.71"	" 7.32"	" 7.35"	" 7.85"	" 7.76"	" 7.41"	" 7.78"	" 7.15"	" 6.21"	" 7.18"	"Tery_3034"	"gene3060"	"CDS"	4685403	4685561	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: ana:asl1657 transposase"	"NCBI_GP:ABG52185.1"
"Tery_1661"	168.66086966192	226.201732139038	78.4233161492243	143.816698220378	-1.517879276815	0.159995612921294	-9.48700560659549	2.37766068130885e-21	3.41364140673628e-19	54	108	90	133	233	261	255	322	206	190	148	96	"    14.96"	"    16.90"	"    16.72"	"    44.56"	"    39.74"	"    48.11"	"    48.57"	"    46.31"	"    53.80"	"    34.59"	"    27.22"	"    27.39"	" 4.00"	" 4.16"	" 4.15"	" 5.51"	" 5.35"	" 5.62"	" 5.63"	" 5.56"	" 5.78"	" 5.15"	" 4.82"	" 4.83"	"Tery_1661"	"gene1671"	"CDS"	2526786	2527910	"+"	"CP000393.1"	"5-amino-6-(5-phosphoribosylamino)uracil reductase / diaminohydroxyphosphoribosylaminopyrimidine deaminase"	"KEGG: ana:all0082 diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase~TIGRFAM: riboflavin biosynthesis protein RibD Riboflavin-specific deaminase-like~PFAM: CMP/dCMP deaminase%2C zinc-binding bifunctional deaminase-reductase-like"	"InterPro:IPR002125,InterPro:IPR002734,InterPro:IPR004794,InterPro:IPR011549,NCBI_GP:ABG50932.1"
"Tery_3824"	1051.81833778878	1672.11601421023	246.251145295401	616.790177439277	-2.76418150367364	0.296344693668048	-9.32758899597492	1.08306490663681e-20	1.5013520429931e-18	194	324	259	870	1358	1612	2472	2861	1442	1035	751	199	"    53.75"	"    50.70"	"    48.13"	"   291.51"	"   231.61"	"   297.13"	"   470.83"	"   411.43"	"   376.62"	"   188.43"	"   138.10"	"    56.78"	" 5.77"	" 5.69"	" 5.62"	" 8.19"	" 7.86"	" 8.22"	" 8.88"	" 8.69"	" 8.56"	" 7.57"	" 7.12"	" 5.85"	"Tery_3824"	"gene3861"	"CDS"	5892400	5893881	"+"	"CP000393.1"	"putative flavin-binding monooxygenase"	"KEGG: pae:PA2097 probable flavin-binding monooxygenase"	"InterPro:IPR000103,InterPro:IPR000759,InterPro:IPR013027,NCBI_GP:ABG52868.1"
